,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,15.71,0.56,0.48,0.45,0.59,0.51,1.13,2.18,1.01,0.5,1.24,1.04,1.07,1.1,1.15,1.27
f_1,0.48,16.34,1.32,0.5,0.41,0.55,0.93,0.71,0.69,0.99,0.92,0.33,0.89,0.82,0.76,0.7
e_1,0.51,0.59,16.23,0.7,0.6,0.57,0.78,0.75,0.7,2.02,0.93,0.99,1.0,0.91,0.84,0.39
c_1,0.6,0.47,0.48,20.23,1.34,0.49,0.57,0.34,0.75,0.87,0.49,0.81,0.88,0.72,0.82,1.05
b_1,0.61,0.53,0.47,0.44,21.42,1.41,0.86,0.88,0.79,0.7,0.52,1.1,0.89,0.75,0.95,0.92
a_1,0.57,0.75,0.5,0.67,0.45,29.19,0.87,0.84,0.97,0.79,1.13,1.02,1.03,0.42,1.08,0.67
h_1,0.71,1.08,0.72,0.95,0.48,0.57,4.94,1.12,1.88,0.9,1.06,1.26,0.71,1.31,1.56,1.27
c_0,0.82,0.76,0.65,0.51,0.58,0.75,1.29,2.98,1.35,1.21,3.16,1.12,1.3,1.82,1.42,1.33
g_1,1.48,0.64,0.55,0.75,0.61,0.6,1.15,0.99,5.78,0.74,1.05,2.08,1.2,1.07,0.94,1.39
d_0,0.36,0.76,0.76,2.12,0.79,0.6,1.0,0.75,1.09,2.84,1.14,1.07,1.26,0.91,0.91,0.92
b_0,0.68,0.91,0.67,0.88,0.45,0.65,1.27,1.08,1.22,0.97,3.38,1.42,1.25,3.17,1.31,1.36
f_0,0.94,0.48,0.46,0.94,0.82,0.65,1.15,1.34,1.53,1.17,1.09,3.79,1.24,1.72,1.4,3.47
h_0,0.8,1.23,0.74,0.81,0.64,0.59,0.69,1.1,1.53,1.12,1.11,1.23,0.74,1.21,1.73,1.22
a_0,1.0,0.81,0.73,0.86,0.6,0.37,1.77,1.13,1.18,1.12,1.12,1.15,1.51,4.42,1.49,1.31
g_0,1.78,0.58,0.55,0.78,0.58,0.56,1.08,1.25,0.94,0.87,1.12,2.52,1.17,1.3,0.92,1.45
e_0,0.77,0.99,0.37,0.81,0.72,0.9,1.54,1.36,1.76,1.21,1.16,1.17,1.36,1.14,1.02,4.33
