,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.14,1.04,0.81,0.85,0.77,0.5,0.43,0.55,0.35,0.43,0.37,0.35,0.36,0.33,0.24
f_1,0.88,1.0,1.28,0.97,0.82,0.67,0.43,0.48,0.4,0.47,0.39,0.39,0.31,0.32,0.26,0.31
e_1,0.96,0.79,1.0,1.16,1.01,0.76,0.5,0.65,0.45,0.52,0.4,0.44,0.4,0.36,0.34,0.39
c_1,1.25,1.02,0.86,1.0,1.22,0.7,0.51,0.34,0.4,0.44,0.35,0.39,0.37,0.34,0.36,0.32
b_1,1.18,1.2,0.99,0.84,1.0,1.38,0.59,0.49,0.5,0.47,0.54,0.42,0.4,0.33,0.34,0.33
a_1,1.32,1.52,1.33,1.38,0.73,1.0,0.67,0.53,0.57,0.62,0.64,0.58,0.5,0.48,0.46,0.43
h_1,1.99,2.38,2.0,1.96,1.71,1.44,1.0,0.82,0.83,1.05,0.78,0.81,0.7,0.55,0.68,0.77
d_0,2.29,2.01,1.53,3.01,2.12,1.79,1.24,1.0,0.83,1.1,0.97,0.98,0.86,0.73,0.75,0.86
c_0,1.85,2.49,2.24,2.39,1.96,1.63,1.22,1.21,1.0,1.09,1.21,0.9,0.86,0.84,0.75,0.73
g_1,2.76,2.11,1.86,2.35,2.11,1.57,0.97,0.89,0.93,1.0,0.93,1.12,0.69,0.61,0.76,0.72
b_0,2.33,2.73,2.33,2.83,2.0,1.49,1.26,1.01,0.83,1.07,1.0,0.91,0.93,1.1,0.89,0.76
f_0,2.73,2.67,2.29,2.53,2.44,1.7,1.21,1.05,1.09,0.95,1.1,1.0,0.98,0.87,1.21,0.66
h_0,2.97,3.21,2.47,2.76,2.49,1.93,1.44,1.18,1.14,1.49,1.1,1.06,1.0,0.9,0.84,1.02
a_0,2.77,3.18,2.8,2.93,3.05,1.95,1.77,1.3,1.18,1.62,0.98,1.11,1.1,1.0,1.01,0.92
e_0,3.06,3.85,2.96,2.81,2.94,2.01,1.4,1.38,1.35,1.26,1.18,0.89,1.22,1.02,1.0,0.96
g_0,4.05,3.07,2.7,3.3,3.03,2.44,1.39,1.2,1.43,1.4,1.29,1.51,0.98,1.11,1.06,1.0
