,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,14.81,0.72,0.87,0.48,0.44,0.43,0.86,2.05,0.84,0.74,1.05,0.97,0.89,0.93,0.52,0.97
f_1,1.23,15.97,0.56,0.49,0.46,0.58,0.8,0.81,0.81,0.9,0.83,0.45,0.87,0.74,0.62,0.72
c_1,0.48,0.52,16.36,0.56,1.33,0.43,0.78,0.93,0.77,0.31,0.7,0.96,0.94,0.95,0.87,0.83
d_1,0.45,0.55,0.4,19.4,0.63,0.56,1.12,0.4,1.04,2.17,1.08,1.0,1.0,1.09,1.02,1.05
b_1,0.52,0.49,0.55,0.58,19.45,1.42,0.69,0.83,0.74,0.79,0.35,0.86,0.97,0.81,1.06,0.81
a_1,0.64,0.58,0.51,0.58,0.52,28.26,0.84,0.66,0.92,1.05,1.08,0.96,1.25,0.51,1.0,1.18
h_1,0.64,1.25,0.58,0.92,0.55,0.6,5.88,1.01,1.82,1.18,1.1,1.3,0.63,1.28,1.0,1.74
d_0,0.68,0.78,1.97,0.35,0.73,0.66,1.29,2.71,0.89,0.78,1.29,1.11,1.09,1.31,1.27,1.07
g_1,0.56,0.66,0.67,1.43,0.58,0.69,1.21,0.9,6.7,1.3,1.39,2.47,1.26,0.88,1.46,0.86
c_0,0.65,0.89,0.45,0.98,0.54,0.74,1.4,1.14,1.34,3.09,3.52,1.11,1.47,1.43,1.69,1.26
b_0,0.79,0.72,0.91,0.97,0.26,0.59,1.33,1.45,1.18,1.11,3.7,1.3,1.33,3.33,1.85,1.52
f_0,0.49,0.45,0.88,0.89,0.87,0.79,1.31,1.29,1.21,1.17,1.63,3.61,1.37,1.12,3.71,1.78
h_0,0.74,1.36,0.67,0.89,0.6,0.63,0.77,1.01,1.68,1.14,1.21,1.37,0.78,1.26,1.13,1.79
a_0,0.69,0.93,0.79,0.97,0.6,0.53,1.21,1.8,0.92,1.73,1.33,1.32,1.34,4.29,1.22,1.12
e_0,0.29,0.99,0.82,0.87,0.72,1.13,1.51,0.94,1.08,1.01,1.16,1.27,1.27,1.14,4.58,1.79
g_0,0.61,0.56,0.59,1.98,0.74,0.64,1.04,0.75,0.64,1.06,1.39,2.2,1.18,1.33,1.54,0.94
