,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,5.75,3.71,2.12,2.14,1.91,1.92,7.94,9.98,8.88,7.59,9.78,6.34,14.1,7.66,10.89,16.28
e_1,2.33,5.85,2.94,1.93,1.92,1.87,7.65,17.73,9.76,8.1,12.02,10.8,17.3,8.53,12.26,15.03
c_1,2.17,1.74,6.71,2.04,4.33,2.62,7.82,9.18,5.55,7.29,6.25,10.3,15.38,13.01,8.64,13.1
d_1,2.7,2.17,1.76,6.98,2.07,1.86,8.44,6.9,19.05,8.17,11.9,10.32,18.06,11.49,12.06,17.57
b_1,2.03,2.06,2.11,2.2,7.6,4.8,8.06,8.83,9.61,7.58,5.76,10.48,14.06,12.09,7.46,16.12
a_1,2.37,1.82,2.23,2.48,2.12,10.51,9.63,9.99,10.8,10.24,11.54,13.31,15.51,12.46,7.41,16.62
h_1,3.13,2.41,2.34,2.84,2.29,2.0,18.54,9.65,10.19,12.43,11.78,12.23,12.13,13.8,13.79,23.45
d_0,2.18,2.37,4.38,1.56,2.87,2.12,9.15,16.57,9.15,8.8,10.54,12.47,17.44,14.34,13.36,18.34
c_0,2.59,2.41,2.13,2.94,1.89,2.43,10.57,10.98,19.17,10.15,23.77,12.14,18.63,13.42,14.95,22.62
g_1,2.24,2.29,2.59,3.63,2.0,2.33,8.48,9.81,11.51,22.85,10.44,16.96,16.81,15.42,12.79,11.54
b_0,3.02,2.56,2.86,2.48,1.49,1.53,10.46,11.68,11.82,10.51,22.3,11.42,21.86,14.11,31.7,20.32
f_0,2.02,1.8,2.94,2.93,2.61,2.51,9.2,11.95,11.84,9.81,12.97,23.9,15.94,30.15,15.58,20.7
h_0,3.36,2.21,2.59,2.54,2.14,2.39,7.02,11.04,11.46,12.72,13.14,10.96,13.22,11.63,13.18,25.28
e_0,2.2,1.8,2.79,2.99,2.95,2.44,9.14,10.04,11.76,9.23,10.55,14.12,16.05,28.19,14.69,22.81
a_0,2.86,2.28,2.61,2.65,2.64,1.14,9.28,13.36,13.05,7.81,14.06,11.86,21.42,16.52,31.19,20.02
g_0,2.26,2.09,2.36,4.23,2.28,2.2,8.72,9.06,12.6,7.94,13.03,18.14,15.17,15.88,14.17,13.81
