,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.81,0.86,1.07,0.83,0.63,0.51,0.56,0.4,0.39,0.43,0.45,0.37,0.31,0.38,0.33
f_1,1.22,1.0,0.92,0.89,0.77,0.63,0.43,0.43,0.38,0.42,0.37,0.36,0.26,0.32,0.32,0.22
d_1,1.15,1.1,1.0,0.86,0.83,0.76,0.53,0.42,0.58,0.38,0.42,0.39,0.35,0.32,0.26,0.34
c_1,0.95,1.13,1.19,1.0,1.33,0.7,0.53,0.35,0.4,0.42,0.35,0.37,0.35,0.35,0.32,0.33
b_1,1.19,1.29,1.21,0.75,1.0,1.29,0.57,0.5,0.56,0.51,0.47,0.37,0.42,0.29,0.34,0.34
a_1,1.58,1.58,1.32,1.41,0.78,1.0,0.73,0.62,0.52,0.67,0.63,0.48,0.46,0.42,0.46,0.38
h_1,1.97,2.38,1.9,1.85,1.79,1.37,1.0,0.89,0.71,0.92,0.8,0.71,0.72,0.55,0.73,0.59
d_0,1.8,2.33,2.23,2.89,2.05,1.57,1.13,1.0,0.83,0.94,0.96,0.91,0.76,0.67,0.73,0.73
c_0,2.51,2.65,1.69,2.47,1.76,1.83,1.42,1.22,1.0,0.91,1.28,0.94,0.89,0.87,0.72,0.71
g_1,2.5,2.45,2.65,2.4,1.98,1.59,1.06,1.11,1.11,1.0,0.98,1.15,0.7,0.79,0.69,0.81
b_0,2.29,2.79,2.33,2.75,2.15,1.51,1.34,1.02,0.79,1.05,1.0,0.9,0.83,1.08,0.74,0.84
f_0,2.15,2.84,2.57,2.59,2.75,2.11,1.4,1.16,1.12,0.89,1.05,1.0,1.0,0.86,0.61,1.14
h_0,2.82,3.6,2.81,2.91,2.4,2.08,1.42,1.33,1.17,1.36,1.29,0.99,1.01,0.88,1.02,0.85
a_0,3.27,3.22,3.06,2.91,3.54,2.34,1.8,1.49,1.18,1.23,0.94,1.15,1.11,1.0,0.9,0.96
g_0,2.83,3.18,3.83,3.02,3.0,2.12,1.38,1.33,1.41,1.51,1.42,1.54,1.01,1.13,1.01,1.3
e_0,3.22,4.41,2.82,2.95,2.99,2.43,1.68,1.42,1.36,1.27,1.21,0.9,1.16,1.04,0.77,1.0
