,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.18,1.59,1.59,1.62,1.52,1.46,0.36,0.47,0.29,0.3,0.37,1.49,0.17,0.29,0.34,0.39
e_1,0.86,0.17,1.98,1.74,1.95,2.42,0.53,0.57,0.36,0.36,0.28,0.4,0.2,1.6,0.44,0.24
d_1,1.78,1.81,0.17,1.96,1.44,1.65,0.45,0.27,0.35,1.27,0.34,0.28,0.22,0.34,0.26,0.17
c_1,1.76,1.41,1.86,0.14,1.93,1.43,0.44,0.54,1.49,0.18,0.35,0.31,0.24,0.41,0.34,0.23
b_1,1.79,2.35,1.33,0.92,0.14,1.96,0.48,0.53,0.36,0.4,1.12,0.36,0.36,0.4,0.35,0.26
a_1,1.91,1.92,1.6,1.67,0.94,0.09,0.47,0.58,0.41,0.39,0.52,0.46,0.3,0.28,,0.23
h_1,0.96,0.89,0.93,1.02,1.0,0.84,0.07,0.3,0.19,0.19,0.15,0.24,0.4,0.14,0.2,0.15
g_1,0.99,0.85,0.98,0.95,0.9,1.12,0.25,0.06,0.19,0.2,0.18,0.19,0.1,0.21,0.19,0.26
c_0,1.08,1.16,0.44,2.73,1.1,0.74,0.34,0.4,0.07,0.26,0.22,0.18,0.15,0.16,0.17,0.13
d_0,1.09,0.47,3.07,0.97,0.98,0.98,0.29,0.48,0.19,0.07,0.14,0.16,0.13,0.24,0.22,0.17
b_0,0.95,0.71,0.87,1.15,2.35,0.97,0.29,0.26,0.1,0.19,0.07,0.16,0.14,0.18,0.15,0.14
f_0,2.93,0.73,0.83,0.93,0.81,1.04,0.22,0.15,0.16,0.21,0.15,0.06,0.14,0.26,0.2,0.07
h_0,0.89,0.85,0.97,0.9,0.95,0.87,0.61,0.29,0.18,0.18,0.15,0.14,0.37,0.14,0.18,0.12
e_0,1.37,1.8,0.75,0.94,0.94,0.59,0.31,0.29,0.17,0.16,0.18,0.09,0.15,0.04,0.14,0.13
a_0,0.87,0.94,0.98,1.14,1.14,,0.2,0.25,0.15,0.19,0.08,0.17,0.13,0.15,0.05,0.1
g_0,0.95,0.91,1.11,0.95,1.06,0.86,0.18,0.53,0.14,0.17,0.21,0.15,0.11,0.18,0.12,0.27
