,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.52,1.12,0.7,0.78,0.61,0.62,0.72,0.75,0.76,0.82,0.79,0.52,0.7,0.77,0.5,0.83
e_1,0.68,1.53,0.62,0.84,0.8,0.6,0.92,0.76,0.86,1.43,0.92,0.84,0.87,0.94,0.59,0.87
d_1,0.87,0.77,1.54,0.66,0.66,0.66,0.88,0.74,1.32,0.56,0.98,0.96,0.79,0.93,0.72,0.77
c_1,0.67,0.75,0.77,1.55,1.2,0.56,0.74,0.61,0.46,0.7,0.61,0.71,0.72,0.91,0.6,0.83
b_1,0.85,0.64,0.88,0.67,1.58,0.95,0.79,0.77,0.92,0.88,0.6,0.81,0.67,1.07,0.89,0.93
a_1,0.89,0.77,0.84,0.86,0.61,1.74,1.04,0.93,1.01,0.99,0.97,0.87,0.56,1.05,0.83,1.04
h_1,1.3,0.92,1.15,0.96,0.92,0.68,1.78,1.36,1.18,1.06,1.17,0.96,0.86,0.95,0.89,1.42
g_1,1.1,0.88,1.43,1.08,0.82,0.76,0.94,1.87,0.93,0.98,1.11,1.54,0.94,1.07,1.19,0.92
c_0,1.21,0.99,1.01,0.9,0.72,0.81,1.34,1.33,1.7,1.24,2.0,1.16,1.31,1.37,1.13,1.19
d_0,1.03,0.89,0.72,1.65,1.01,0.81,1.36,1.13,0.86,1.65,1.15,1.06,0.99,1.24,0.89,1.28
b_0,1.25,1.05,1.16,1.18,0.66,0.68,1.16,1.16,1.03,1.19,1.73,1.21,1.99,1.41,0.99,1.13
f_0,0.98,1.0,1.13,1.21,1.01,0.89,1.24,1.17,1.32,1.2,1.21,1.72,1.16,1.46,1.79,1.09
a_0,1.2,0.92,1.25,1.09,1.16,0.61,1.48,1.25,1.17,1.2,1.05,1.14,1.75,1.58,1.17,1.21
h_0,1.54,1.03,1.25,1.01,0.81,0.93,1.0,1.58,1.17,1.2,1.28,1.07,0.98,1.02,1.05,1.43
e_0,1.41,0.65,1.28,1.31,0.87,0.91,1.53,1.26,1.2,1.35,1.27,1.06,1.14,1.33,1.87,1.37
g_0,0.97,0.92,1.78,1.05,0.97,0.88,1.2,1.06,1.3,1.01,1.29,1.68,1.22,1.13,1.1,1.04
