,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,2.52,1.67,1.66,1.51,2.54,1.72,3.19,3.13,3.0,2.41,3.87,2.52,4.7,3.73,3.43,4.39
f_1,1.68,2.52,1.65,2.35,1.59,1.44,2.92,3.08,3.69,3.39,2.62,3.66,3.91,2.55,3.83,4.1
d_1,1.55,1.82,2.56,1.66,1.58,1.53,3.41,3.0,3.09,5.48,3.83,4.71,4.72,4.16,3.88,4.27
e_1,1.98,1.5,1.52,2.59,1.72,1.61,3.16,3.48,5.57,3.23,3.93,3.73,4.66,3.36,3.88,5.05
b_1,1.49,1.68,1.66,1.57,2.69,2.85,3.33,3.13,3.32,3.6,3.56,3.31,4.84,3.7,3.22,4.42
a_1,1.82,1.94,1.61,1.53,1.39,3.31,3.29,3.67,3.73,3.98,4.08,4.15,4.79,4.48,4.08,4.69
h_1,1.75,2.06,1.77,1.68,1.59,1.67,4.26,3.75,3.42,3.58,3.9,3.96,4.07,3.4,3.98,5.5
g_1,1.68,1.69,2.33,1.5,1.67,1.56,3.51,4.62,3.37,3.99,5.29,3.81,4.08,4.29,3.72,4.41
d_0,2.55,1.74,1.47,1.51,1.97,1.67,3.32,3.31,4.5,2.69,4.11,3.32,4.32,3.7,4.09,4.83
c_0,1.9,1.87,1.69,1.77,1.39,1.54,3.71,3.42,4.1,4.72,3.92,6.27,5.01,4.38,4.86,5.01
f_0,1.76,1.7,1.94,1.47,1.78,1.83,3.58,3.23,3.52,3.89,4.85,4.14,4.86,6.64,4.36,4.62
b_0,1.96,1.94,1.67,1.78,1.41,1.39,3.58,3.28,3.92,3.37,3.4,4.83,5.12,3.9,6.8,4.92
h_0,1.75,2.04,1.79,1.68,1.57,1.67,3.0,4.08,3.63,3.55,4.07,3.84,4.14,3.95,4.32,5.41
e_0,1.81,2.2,1.75,1.46,1.78,1.89,3.8,3.47,3.24,3.24,3.4,3.77,5.13,5.52,4.07,4.83
a_0,1.75,1.78,1.93,1.71,1.81,1.31,3.64,3.68,3.54,3.42,3.33,3.26,4.66,3.95,5.46,5.03
g_0,1.82,1.6,2.22,1.48,1.73,1.36,2.97,3.11,3.39,3.98,4.93,4.05,4.65,4.42,4.2,4.68
