,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.24,0.92,1.01,0.97,0.82,0.83,1.03,1.05,0.95,0.93,0.93,0.92,1.05,1.06,0.89
e_1,0.81,1.0,0.97,1.13,1.01,0.96,1.02,1.51,1.06,0.94,1.05,1.24,1.08,0.91,1.21,1.24
d_1,1.1,1.02,1.0,0.86,1.03,0.93,0.95,1.02,0.81,1.4,0.97,0.95,0.94,1.06,0.82,1.04
c_1,0.99,0.88,1.17,1.0,1.31,0.88,0.94,0.65,1.07,0.76,0.83,1.01,1.01,0.99,0.9,0.86
b_1,1.03,0.99,0.97,0.77,1.0,1.65,1.11,0.98,1.01,1.05,0.98,0.94,0.9,0.84,1.1,0.95
a_1,1.21,1.03,1.06,1.11,0.6,1.0,1.46,1.0,1.32,0.9,1.3,0.93,1.23,1.06,0.97,1.01
h_1,1.18,0.97,1.06,1.06,0.87,0.73,1.0,0.84,1.21,0.93,0.99,0.9,1.04,0.85,1.13,0.95
d_0,0.95,0.65,0.92,1.54,1.07,1.02,1.17,1.0,0.98,0.83,1.07,0.96,0.95,0.91,1.14,1.16
g_1,1.01,0.94,1.2,0.92,0.96,0.82,0.83,0.98,1.0,1.07,0.99,1.26,0.97,1.06,1.0,0.94
c_0,1.04,1.08,0.75,1.18,0.92,1.08,1.11,1.08,0.95,1.0,1.43,1.05,1.14,1.11,1.07,1.1
b_0,1.0,0.98,1.0,1.27,1.0,0.84,1.04,0.99,1.04,0.74,1.0,0.88,1.12,1.41,0.93,1.02
f_0,1.13,0.79,1.04,1.02,1.06,1.06,1.1,1.0,0.79,0.93,1.14,1.0,1.12,1.16,0.77,1.48
h_0,1.14,0.93,1.03,0.97,1.08,0.83,0.94,1.0,1.03,0.89,0.93,0.88,1.0,0.96,1.18,0.82
a_0,0.93,1.05,0.99,1.04,1.23,0.99,1.22,1.07,0.94,0.84,0.72,1.0,0.99,1.0,1.17,0.94
g_0,0.93,0.83,1.23,1.07,0.93,0.98,0.89,0.94,1.0,0.92,1.01,1.3,0.79,0.85,1.0,0.95
e_0,1.16,0.81,0.91,1.19,1.04,1.08,1.01,0.89,1.04,0.94,1.06,0.69,1.19,1.06,0.97,1.0
