,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,3.81,0.46,0.33,0.39,0.3,0.34,0.74,0.67,1.51,0.92,0.88,0.81,0.75,0.82,0.85,0.38
f_1,0.66,3.84,0.45,0.39,0.32,0.38,0.82,0.65,0.7,0.65,0.94,0.21,0.83,0.67,0.92,0.51
d_1,0.38,0.41,4.12,0.31,0.42,0.43,0.8,0.71,0.15,1.65,0.93,0.74,0.86,0.98,0.79,0.58
c_1,0.4,0.44,0.34,4.26,0.76,0.26,0.7,0.7,0.75,0.14,0.55,0.83,0.74,1.04,0.82,0.92
b_1,0.43,0.43,0.43,0.37,5.1,0.68,0.6,0.62,0.71,0.56,0.1,0.93,0.68,0.88,0.68,0.75
a_1,0.32,0.33,0.42,0.46,0.38,7.56,0.81,0.73,0.82,0.93,0.79,0.65,0.18,1.06,0.8,1.18
h_1,0.65,0.92,0.61,0.74,0.71,0.41,4.97,1.58,1.34,1.24,1.57,1.58,1.27,0.68,1.86,1.74
g_1,0.63,0.39,1.05,0.83,0.64,0.71,1.39,5.64,1.06,1.37,1.25,2.34,1.17,1.07,0.74,1.59
d_0,0.62,0.68,0.3,1.5,0.62,0.62,1.23,1.4,3.88,1.1,1.37,1.67,1.05,1.5,1.56,1.74
c_0,0.71,0.82,0.87,0.3,0.53,0.77,1.13,1.41,1.25,3.94,2.61,1.87,1.73,1.66,1.84,1.27
b_0,0.62,0.81,0.62,0.73,0.26,0.85,1.25,1.65,1.52,1.39,4.44,1.81,2.91,1.74,1.77,1.49
f_0,0.57,0.26,0.84,0.87,0.48,0.76,1.73,1.75,1.7,1.27,1.67,4.4,1.81,1.91,1.69,3.69
a_0,0.59,0.78,0.96,0.74,0.59,,1.65,1.51,1.62,1.31,1.79,1.44,5.93,1.16,1.89,1.82
h_0,0.55,1.03,0.81,0.69,0.67,0.72,0.48,1.58,1.19,1.35,1.27,0.96,1.76,0.6,2.25,1.35
g_0,0.72,0.52,1.05,0.58,0.73,0.72,0.98,0.87,1.53,1.44,1.27,2.52,1.57,1.82,0.82,1.5
e_0,0.16,0.93,0.71,0.8,0.96,0.71,1.28,1.48,1.84,1.43,1.57,1.52,1.08,1.92,1.59,6.35
