,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,23.64,0.62,0.35,0.36,0.31,0.28,0.66,0.56,0.69,0.79,0.84,0.19,1.03,0.82,0.57,0.81
e_1,0.38,25.19,0.37,0.25,0.36,0.29,0.76,0.68,1.63,0.87,0.86,0.8,0.73,0.79,0.16,0.98
c_1,0.32,0.25,26.92,0.41,0.59,0.37,0.73,0.75,0.8,0.11,0.77,0.88,0.94,0.67,0.93,0.88
d_1,0.4,0.29,0.3,26.53,0.39,0.36,0.75,0.77,0.16,1.5,1.03,0.78,1.02,0.75,0.81,0.6
b_1,0.33,0.29,0.35,0.33,30.88,0.66,0.76,0.76,0.84,0.86,0.1,0.88,0.75,0.85,0.91,0.94
a_1,0.32,0.47,0.26,0.45,0.28,47.12,0.79,0.71,0.7,0.78,0.81,0.8,0.75,,0.85,0.65
h_1,0.78,0.62,0.63,0.75,0.64,0.52,9.64,1.55,1.25,1.35,1.34,1.27,0.48,1.48,1.44,2.42
g_1,0.53,0.32,0.66,1.12,0.61,0.63,1.24,12.4,1.27,1.39,1.67,3.3,1.33,1.83,2.23,0.73
d_0,0.65,0.72,1.51,0.18,0.5,0.67,1.17,1.3,5.06,1.22,1.39,1.9,1.54,1.17,1.63,1.69
c_0,0.68,0.7,0.27,0.78,0.48,0.86,1.56,1.3,1.57,5.44,3.38,1.39,1.79,1.91,1.72,1.54
b_0,0.78,0.68,0.66,0.68,0.23,0.61,1.34,1.57,1.41,1.78,6.61,1.59,2.2,3.64,1.9,1.91
f_0,0.23,0.5,0.94,0.67,0.72,0.78,1.52,1.57,1.87,1.81,1.11,7.55,1.83,1.12,4.02,2.06
h_0,1.13,0.66,0.78,0.59,0.55,0.49,0.3,1.95,1.33,0.98,1.3,1.39,0.53,1.46,1.23,2.06
a_0,0.71,0.8,0.75,0.66,0.79,0.24,1.5,0.89,1.05,1.29,1.67,1.13,1.52,9.02,0.84,1.48
e_0,0.73,0.21,0.65,0.61,0.89,0.82,1.56,1.53,1.89,1.45,1.42,2.11,2.61,1.59,9.7,1.65
g_0,0.64,0.62,0.75,1.03,0.54,0.64,1.14,0.56,1.25,1.09,0.91,1.78,1.58,1.49,1.46,0.68
