,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.92,0.66,0.36,0.38,0.3,0.19,0.32,0.26,0.32,0.35,0.29,0.2,0.32,0.21,0.13,0.26
e_1,0.49,0.92,0.33,0.47,0.34,0.2,0.33,0.22,0.3,0.61,0.3,0.25,0.39,0.26,0.17,0.3
d_1,0.5,0.42,0.92,0.31,0.3,0.23,0.35,0.32,0.62,0.28,0.38,0.29,0.37,0.26,0.19,0.29
c_1,0.42,0.38,0.37,0.91,0.56,0.27,0.32,0.29,0.26,0.31,0.24,0.26,0.35,0.21,0.21,0.23
b_1,0.44,0.38,0.37,0.42,0.91,0.45,0.33,0.28,0.32,0.33,0.23,0.26,0.36,0.16,0.19,0.26
a_1,0.48,0.41,0.44,0.36,0.32,0.89,0.41,0.33,0.37,0.34,0.36,0.27,0.34,0.19,0.23,0.29
h_1,0.62,0.46,0.41,0.38,0.32,0.23,0.66,0.4,0.39,0.34,0.36,0.29,0.34,0.3,0.23,0.36
g_1,0.44,0.4,0.62,0.36,0.31,0.25,0.34,0.65,0.46,0.27,0.41,0.45,0.39,0.29,0.26,0.29
c_0,0.59,0.49,0.47,0.34,0.26,0.21,0.41,0.31,0.56,0.38,0.62,0.32,0.42,0.34,0.25,0.34
d_0,0.51,0.46,0.31,0.68,0.38,0.22,0.36,0.29,0.26,0.53,0.35,0.25,0.41,0.24,0.2,0.29
b_0,0.56,0.47,0.47,0.43,0.23,0.21,0.42,0.33,0.36,0.35,0.56,0.28,0.39,0.49,0.22,0.33
f_0,0.42,0.42,0.46,0.39,0.34,0.28,0.37,0.33,0.4,0.45,0.41,0.56,0.41,0.29,0.5,0.38
h_0,0.63,0.49,0.46,0.35,0.36,0.23,0.24,0.35,0.32,0.33,0.32,0.26,0.33,0.25,0.21,0.36
a_0,0.55,0.45,0.45,0.44,0.38,0.2,0.39,0.26,0.38,0.38,0.34,0.25,0.41,0.45,0.18,0.31
e_0,0.55,0.37,0.5,0.39,0.35,0.19,0.35,0.4,0.37,0.42,0.39,0.35,0.4,0.38,0.49,0.3
g_0,0.45,0.4,0.6,0.41,0.35,0.22,0.34,0.28,0.4,0.37,0.38,0.4,0.42,0.28,0.28,0.26
