,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,2.54,0.72,0.53,0.72,0.57,0.54,0.85,0.97,1.75,1.01,1.01,1.0,0.9,1.09,0.98,0.72
f_1,1.07,2.51,0.7,0.67,0.51,0.66,1.0,0.74,0.86,0.75,0.99,0.39,0.94,0.78,1.02,0.57
d_1,0.62,0.72,2.73,0.52,0.64,0.67,0.94,0.97,0.41,1.78,1.17,1.0,1.04,0.99,0.91,0.86
c_1,0.64,0.7,0.62,2.79,1.2,0.46,0.84,0.77,0.89,0.37,0.62,0.91,0.85,1.0,0.9,0.96
b_1,0.64,0.67,0.68,0.63,3.32,1.2,0.8,0.77,0.74,0.71,0.39,0.92,0.82,0.92,0.81,0.89
a_1,0.55,0.62,0.69,0.81,0.59,4.79,1.04,0.94,0.93,0.98,0.99,0.91,0.43,1.12,0.94,1.35
h_1,0.83,1.07,0.75,0.8,0.82,0.5,2.63,1.4,1.07,1.14,1.22,1.15,1.1,0.87,1.49,1.27
g_1,0.7,0.54,1.22,0.88,0.7,0.81,1.04,2.91,0.87,1.19,1.04,1.97,1.08,0.96,0.82,1.33
d_0,0.74,0.8,0.57,1.42,0.69,0.73,0.97,1.13,2.09,0.74,1.09,1.27,0.92,1.11,1.1,1.34
c_0,0.74,0.91,0.95,0.56,0.54,0.79,1.02,1.15,1.06,2.15,2.2,1.37,1.41,1.31,1.17,1.12
b_0,0.73,0.92,0.87,0.91,0.44,0.86,1.08,1.27,1.07,1.07,2.47,1.37,2.35,1.29,1.39,1.19
f_0,0.56,0.52,1.03,0.92,0.74,0.81,1.4,1.41,1.21,1.19,1.27,2.54,1.42,1.32,1.16,2.64
a_0,0.77,0.85,1.11,0.82,0.77,0.41,1.22,1.2,1.05,0.99,1.4,1.23,2.9,1.04,1.4,1.39
h_0,0.71,1.16,0.92,0.8,0.77,0.76,0.7,1.33,0.88,1.0,1.04,1.0,1.29,0.63,1.59,1.02
g_0,0.68,0.72,1.21,0.67,0.87,0.68,1.01,1.0,1.16,1.22,1.07,1.88,1.26,1.33,0.85,1.4
e_0,0.4,0.99,0.94,0.97,0.93,0.76,1.22,1.13,1.15,1.14,1.04,1.3,1.13,1.14,1.25,3.19
