,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,5.99,2.84,2.53,3.62,3.14,2.54,10.17,10.54,11.39,21.9,14.28,12.95,20.72,11.31,23.27,15.07
f_1,4.3,6.05,2.56,2.83,2.54,2.62,9.6,9.82,12.83,14.15,9.23,13.02,18.73,10.34,16.91,14.41
d_1,2.76,2.99,6.6,2.58,2.53,2.87,10.29,10.5,23.17,9.99,14.09,16.87,21.86,15.46,20.94,15.08
c_1,2.51,2.83,2.52,6.99,5.02,3.21,10.2,9.79,7.52,12.59,13.26,9.17,19.8,12.93,19.15,13.62
b_1,2.51,2.72,2.83,2.68,8.16,5.63,10.85,10.23,12.66,12.13,13.41,8.27,19.06,16.84,19.31,10.71
a_1,2.81,3.02,3.11,2.69,2.73,10.35,10.9,12.15,13.92,12.69,12.54,12.62,22.5,13.83,21.07,9.03
h_1,3.15,3.89,3.15,3.07,2.59,3.01,18.87,14.83,13.17,13.61,13.04,13.12,17.47,16.86,24.81,15.18
g_1,2.98,2.75,4.28,2.87,2.24,3.31,10.98,22.64,14.43,13.49,20.4,14.33,17.72,16.93,18.51,15.35
c_0,3.02,3.07,3.52,2.71,2.43,3.1,10.84,12.44,21.07,15.51,15.7,25.89,21.76,17.31,20.67,22.3
d_0,2.92,3.14,2.14,5.32,3.77,2.79,10.31,10.06,8.35,19.54,14.21,11.23,21.17,13.56,20.26,16.41
f_0,2.61,2.71,3.1,3.72,3.5,2.99,11.58,10.36,14.02,15.12,23.35,16.52,23.12,30.21,24.2,15.62
b_0,2.9,3.17,3.49,3.43,2.78,2.48,11.27,12.66,14.8,14.73,16.22,25.19,24.22,18.45,19.97,35.35
h_0,2.94,3.53,3.36,3.29,2.92,3.02,8.54,13.51,13.3,14.48,14.12,13.49,18.43,14.62,28.21,15.68
e_0,2.08,3.74,3.22,3.18,3.15,3.67,12.75,12.54,15.58,11.35,14.39,15.09,21.5,31.09,21.41,14.78
g_0,2.58,2.68,4.16,3.13,3.16,3.13,12.45,8.31,14.91,12.03,21.15,13.87,20.55,20.19,18.44,16.95
a_0,2.87,3.17,3.5,3.46,3.42,2.31,11.26,11.26,12.1,14.83,14.54,14.19,23.21,16.56,21.33,32.14
