,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.18,11.65,6.04,14.41,15.01,12.96,4.11,3.95,2.03,1.84,3.61,3.21,3.24,,3.02,2.75
d_1,15.21,0.17,13.04,13.38,11.16,22.89,3.68,2.03,,2.65,2.3,1.97,2.21,3.35,2.48,1.01
f_1,15.63,11.82,0.17,14.24,13.94,11.56,2.24,4.79,3.16,2.8,1.87,,1.13,3.45,2.29,1.84
c_1,12.51,15.16,14.24,0.15,16.62,9.23,4.1,3.94,1.15,,2.48,3.13,2.24,2.91,3.01,1.58
b_1,13.13,11.48,13.94,7.59,0.13,14.28,2.92,3.11,2.87,3.48,,2.27,1.9,2.57,,2.79
a_1,13.53,12.4,18.06,12.93,8.46,0.1,3.94,3.22,2.39,3.19,2.62,3.14,1.6,2.49,,2.07
h_1,3.16,3.57,3.27,3.79,2.58,2.68,0.07,1.22,0.61,0.79,0.53,0.57,,0.91,0.78,0.46
g_1,3.12,2.91,3.8,2.9,3.35,3.39,0.67,0.06,0.87,0.67,0.94,1.63,0.34,0.54,0.87,
d_0,1.53,,2.45,1.95,2.15,4.1,0.73,0.71,0.08,0.76,0.48,0.42,0.38,0.58,0.46,0.43
c_0,2.62,1.42,2.89,,2.09,3.61,0.69,0.64,0.68,0.08,0.6,0.69,0.3,0.49,0.53,0.45
b_0,3.47,2.37,2.44,3.27,,2.62,1.04,0.72,0.67,0.35,0.07,0.52,0.24,0.32,0.43,0.44
f_0,2.63,2.96,,2.67,2.54,2.77,1.17,0.51,0.5,0.4,0.66,0.07,0.31,0.75,0.43,0.24
h_0,1.75,1.93,2.31,1.45,1.76,1.76,,0.58,0.33,0.26,0.41,0.26,,0.28,0.38,0.16
e_0,,2.58,4.25,3.53,3.64,2.02,0.51,0.56,0.46,0.65,0.69,0.37,0.34,0.05,,0.3
a_0,2.17,3.06,2.52,2.82,,,0.84,0.87,0.59,0.59,0.22,0.46,0.44,,0.04,0.36
g_0,1.9,2.25,1.64,1.87,2.13,1.41,0.27,,0.41,0.43,0.47,0.34,0.17,0.24,0.43,
