,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,3.79,0.41,0.35,0.41,0.36,0.46,0.79,0.71,1.46,0.61,0.94,0.76,0.77,0.95,0.26,0.88
f_1,0.65,3.85,0.36,0.42,0.31,0.36,0.74,0.65,0.81,0.85,0.15,0.84,0.94,0.61,0.67,0.9
d_1,0.36,0.41,4.1,0.31,0.36,0.3,0.87,0.86,0.18,1.7,0.7,1.21,0.97,0.94,0.81,0.95
c_1,0.38,0.39,0.34,4.33,0.81,0.28,0.7,0.8,0.75,0.17,0.88,0.6,0.84,0.78,0.83,0.73
b_1,0.39,0.39,0.34,0.34,5.05,0.85,0.67,0.82,0.86,0.69,0.91,0.13,0.93,0.72,0.79,0.83
a_1,0.37,0.34,0.42,0.52,0.38,7.07,0.66,0.56,1.01,0.93,0.89,0.71,0.87,0.18,0.73,0.95
h_1,0.6,0.96,0.79,0.68,0.67,0.45,5.32,1.79,1.15,1.07,1.44,1.37,0.54,1.57,1.53,1.62
g_1,0.71,0.51,1.12,0.62,0.62,0.67,1.11,6.03,1.23,1.42,2.26,1.23,1.28,1.82,1.96,0.79
d_0,0.69,0.77,0.2,1.5,0.7,0.63,1.3,0.73,3.64,0.96,1.17,1.14,1.76,1.44,1.48,1.31
c_0,0.77,0.83,0.93,0.27,0.38,0.83,1.42,1.14,1.49,4.07,1.73,2.84,1.55,1.22,1.71,1.99
f_0,0.6,0.28,0.98,0.79,0.75,0.71,1.23,1.54,1.39,1.21,4.86,1.69,1.52,1.35,3.75,1.57
b_0,0.7,1.01,0.72,0.66,0.23,0.55,1.42,1.27,1.29,1.43,1.41,4.84,1.83,2.97,1.24,1.65
h_0,0.67,1.0,0.9,0.73,0.69,0.52,0.31,1.54,0.94,1.3,1.22,1.17,0.68,1.23,1.16,2.01
a_0,0.7,0.77,0.88,0.85,0.67,0.26,1.41,1.01,1.34,1.45,1.75,1.73,1.98,5.76,1.51,0.98
e_0,0.16,0.93,0.88,0.79,0.88,0.44,1.76,1.46,1.35,1.81,1.47,1.85,1.63,1.17,6.9,1.79
g_0,0.64,0.49,1.35,0.67,0.49,0.66,1.56,0.63,1.15,1.06,2.54,1.35,1.71,1.47,1.82,0.62
