,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,117.09,112.66,93.9,112.05,136.11,335.8,10028.9,18073.03,23204.26,19346.38,27753.59,31988.47,84603.0,124129.37,95115.91,217420.23
e_1,71.41,118.67,100.58,139.36,144.73,319.06,10784.53,18022.57,30793.21,20237.48,26360.39,43403.82,93722.6,139525.12,120659.27,251830.02
d_1,79.52,69.37,153.41,83.13,116.96,291.39,10208.74,24811.6,14847.65,15901.05,27059.17,38962.91,94193.01,133209.21,131660.81,223198.85
c_1,67.56,59.51,95.25,159.98,191.52,317.56,8687.52,14081.86,15248.17,15795.51,17020.31,37471.48,79354.15,124669.93,118027.12,191623.68
b_1,64.9,60.56,91.48,86.21,188.23,472.05,8693.93,15035.39,15017.57,16232.06,18855.99,34507.56,66922.93,125353.61,117324.3,215662.06
a_1,54.17,48.7,70.24,70.28,70.82,405.67,7321.45,12162.91,12638.28,12503.7,17868.38,26399.0,57207.8,91032.46,87185.12,156941.65
h_1,24.21,20.09,27.01,27.87,30.96,81.05,3507.66,4586.79,5213.03,5531.6,6831.59,10417.68,24451.05,32754.7,33125.1,70316.51
c_0,17.9,17.17,22.93,22.96,25.23,71.8,2437.16,4952.13,4470.43,4407.0,8162.58,8732.77,25857.9,30058.61,30034.4,56452.82
d_0,15.47,14.48,20.09,37.31,31.53,66.69,2129.46,3204.3,5165.25,4193.53,5032.81,8710.94,20112.36,28743.84,26356.22,52595.23
g_1,15.68,13.63,30.17,23.88,28.3,71.13,2141.21,4121.7,3725.04,5630.02,5185.56,11808.24,19264.35,26546.72,29015.53,50808.57
b_0,15.29,15.95,21.3,25.59,22.58,60.63,2101.03,3499.12,4436.71,4022.73,6222.02,8261.0,28110.02,27381.0,24375.24,48453.12
f_0,13.72,11.02,18.51,20.37,24.84,59.32,1810.59,3156.8,3425.04,2835.09,4031.02,9075.33,15538.51,23771.54,39590.88,40571.13
a_0,11.18,9.87,14.44,14.25,16.73,39.22,1428.63,2440.12,2703.81,2348.19,3272.7,5282.44,16248.09,19878.08,17550.26,35437.45
h_0,11.04,9.33,13.82,14.09,15.49,42.01,1003.53,2261.85,2477.0,2677.05,3237.4,4706.83,10666.2,14536.47,16220.84,33627.95
e_0,10.66,7.23,11.87,13.39,16.76,43.57,1250.82,2167.4,2342.95,2411.76,3227.79,4041.92,10924.17,17871.87,21607.94,28499.8
g_0,7.86,7.01,14.23,11.49,12.47,33.23,1050.11,1972.52,1908.66,1621.44,2479.8,4828.88,8900.08,13071.5,15616.68,22075.6
