,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.86,1.28,0.94,1.54,2.72,19.69,37.51,28.81,29.01,41.95,48.17,78.18,102.11,144.12,111.13
f_1,1.18,1.0,1.07,1.11,1.18,2.06,12.78,21.71,21.68,29.72,33.87,36.2,61.6,92.47,59.39,95.59
c_1,0.78,0.94,1.0,1.09,2.04,2.25,15.81,17.71,18.17,23.84,26.33,35.27,68.4,78.67,79.91,94.74
d_1,1.06,0.89,0.93,1.0,1.57,2.12,14.73,24.13,31.87,20.35,36.28,38.45,69.22,69.71,77.81,69.78
b_1,0.65,0.86,0.49,0.64,1.0,2.89,11.48,16.32,22.17,19.77,22.78,24.48,50.97,53.33,53.46,58.38
a_1,0.37,0.48,0.45,0.47,0.35,1.0,7.84,10.3,8.6,9.97,16.83,16.37,30.46,30.49,41.21,39.52
h_1,0.05,0.07,0.06,0.07,0.09,0.12,1.0,1.45,1.52,2.06,2.19,2.26,4.63,4.71,5.36,6.44
d_0,0.03,0.05,0.06,0.04,0.06,0.1,0.68,1.0,0.89,1.05,1.52,1.59,3.23,3.05,3.74,4.68
c_0,0.03,0.05,0.05,0.03,0.04,0.11,0.66,1.08,1.0,1.02,1.84,1.47,3.37,3.91,3.69,3.76
g_1,0.03,0.03,0.04,0.05,0.05,0.1,0.49,0.94,0.98,1.0,1.41,1.79,2.48,2.65,3.16,2.92
b_0,0.02,0.03,0.04,0.03,0.04,0.06,0.44,0.69,0.52,0.71,1.0,0.99,1.97,3.45,2.36,2.58
f_0,0.02,0.03,0.03,0.03,0.04,0.06,0.45,0.61,0.64,0.54,0.98,1.0,2.1,2.39,3.15,1.85
h_0,0.01,0.02,0.02,0.01,0.02,0.03,0.22,0.31,0.29,0.41,0.5,0.5,1.0,1.0,1.19,1.57
a_0,0.01,0.01,0.01,0.01,0.02,0.03,0.23,0.32,0.26,0.37,0.3,0.45,1.01,1.0,0.99,1.09
e_0,0.01,0.02,0.01,0.01,0.02,0.03,0.19,0.25,0.27,0.3,0.43,0.32,0.86,1.05,1.0,1.03
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.16,0.21,0.25,0.36,0.39,0.51,0.61,0.95,1.07,1.0
