,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.78,1.11,0.71,0.69,0.53,0.49,1.37,2.79,2.75,1.45,2.77,0.69,4.59,2.96,1.87,3.3
e_1,0.66,5.82,0.52,0.7,0.54,0.54,2.41,5.24,2.46,2.12,2.85,2.74,3.94,3.57,0.84,4.1
d_1,0.68,0.48,6.47,0.58,0.59,0.65,1.92,0.78,5.79,2.57,3.25,3.19,4.55,2.64,3.37,3.81
c_1,0.67,0.59,0.49,6.56,1.16,0.45,2.31,2.82,0.69,2.09,2.1,3.06,3.9,2.59,3.53,3.79
b_1,0.51,0.47,0.63,0.53,6.88,1.39,2.42,3.27,2.59,2.66,0.89,2.43,4.77,2.54,2.66,3.74
a_1,0.57,0.49,0.63,0.44,0.73,9.96,2.79,2.53,2.99,2.42,3.13,3.22,4.65,0.77,3.0,6.08
h_1,1.48,0.94,1.26,0.91,0.88,0.6,16.24,4.81,4.84,4.98,5.31,5.07,2.84,5.07,5.4,12.26
d_0,1.16,1.02,0.43,2.17,0.94,0.7,4.98,13.18,3.12,3.8,4.63,5.41,9.3,5.58,4.82,6.93
c_0,1.44,1.17,1.09,0.38,0.81,1.21,4.07,5.1,14.17,3.35,10.9,5.48,7.36,6.77,6.43,8.9
g_1,0.78,0.93,1.78,1.26,0.83,0.81,3.28,4.95,3.16,21.55,4.83,9.49,7.61,5.55,5.13,3.87
b_0,1.27,1.38,1.0,1.06,0.26,0.89,3.05,4.96,5.09,3.52,16.91,5.76,6.06,11.84,7.42,7.56
f_0,0.39,0.95,1.32,1.26,1.17,0.91,4.24,4.02,5.78,3.66,7.24,19.41,9.47,5.12,12.28,8.28
h_0,1.39,1.15,1.25,0.97,0.94,0.87,1.72,4.01,5.17,4.16,5.74,5.66,2.87,3.24,4.49,9.29
a_0,1.19,0.93,1.38,1.33,0.92,0.4,4.45,4.87,5.83,4.47,6.56,7.9,8.87,24.54,3.28,10.83
e_0,1.3,0.31,1.17,1.23,1.02,1.11,5.49,4.62,6.95,3.91,6.12,4.59,8.97,6.16,26.37,8.55
g_0,0.84,1.03,1.79,0.93,0.95,0.89,4.75,4.12,4.89,1.55,5.5,10.16,6.74,6.07,4.82,4.86
