,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.45,1.81,2.14,1.63,1.91,1.48,0.37,0.68,0.42,0.34,0.4,0.81,0.22,0.4,0.3,0.41
e_1,1.04,0.44,2.26,2.28,2.69,2.01,0.64,0.64,0.53,0.45,0.45,0.58,0.34,0.42,0.39,1.2
c_1,2.13,1.69,0.42,2.57,1.82,1.95,0.78,0.6,0.22,0.83,0.5,0.42,0.25,0.37,0.34,0.38
d_1,2.22,2.43,2.29,0.41,2.18,2.33,0.5,0.34,0.94,0.36,0.32,0.35,0.26,0.42,0.17,0.35
b_1,3.27,2.29,1.09,2.64,0.38,2.5,0.77,0.81,0.56,0.74,1.5,0.52,0.4,0.62,0.38,0.4
a_1,2.77,3.08,3.35,2.79,1.42,0.32,0.91,0.97,0.75,0.62,0.62,0.89,0.57,1.86,0.53,0.66
h_1,3.21,3.14,3.4,3.1,3.13,3.22,0.33,1.07,0.72,0.83,0.74,0.65,1.02,0.65,0.5,0.86
g_1,3.88,4.56,3.7,3.35,3.8,3.62,0.86,0.31,0.82,0.72,0.63,0.7,0.37,0.68,0.81,0.9
d_0,3.82,2.0,3.57,8.37,3.69,3.44,1.3,1.24,0.39,0.71,0.83,0.77,0.58,0.87,0.6,0.78
c_0,4.6,3.59,10.58,2.09,4.41,3.63,1.12,1.22,1.13,0.4,0.78,0.78,0.6,1.04,0.59,0.93
b_0,4.2,3.9,6.87,3.23,9.43,4.92,1.14,0.98,0.82,0.36,0.35,0.72,0.53,0.67,0.44,0.63
f_0,7.94,3.91,4.3,3.17,4.25,5.27,1.4,0.74,0.86,0.69,0.8,0.33,0.64,0.71,0.35,0.73
h_0,4.88,4.19,4.13,4.35,3.99,3.55,2.0,1.18,0.77,0.79,0.74,0.74,1.15,0.82,0.6,0.69
a_0,4.95,4.0,5.62,4.05,8.65,12.66,1.27,1.23,0.81,0.69,0.47,0.76,0.62,0.33,0.61,1.07
g_0,5.62,5.83,5.51,3.81,4.58,5.46,1.09,2.17,1.14,0.85,0.96,0.92,0.63,0.98,1.35,0.95
e_0,8.55,6.41,4.98,4.81,5.49,6.96,1.74,1.15,0.95,0.85,0.9,0.44,0.71,0.8,0.62,0.29
