,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,6.21,4.38,2.75,2.77,2.52,2.91,9.93,9.12,10.99,13.48,13.38,10.42,14.07,19.85,9.41,19.9
e_1,2.92,6.37,2.27,3.36,2.98,2.88,11.64,9.4,11.2,22.93,14.2,14.38,14.19,20.38,11.48,19.09
d_1,3.18,2.59,6.56,2.36,2.67,3.19,11.05,10.8,21.72,9.54,17.24,17.28,16.16,21.84,15.48,22.0
c_1,2.55,2.72,2.71,6.67,5.15,2.84,8.89,7.92,7.81,11.96,8.69,12.48,13.39,18.39,12.58,18.91
b_1,2.98,2.31,2.82,2.93,7.22,5.11,9.41,10.03,12.64,11.94,9.58,13.58,11.66,23.01,14.42,21.95
a_1,3.02,2.8,3.21,3.0,2.5,10.54,11.88,11.1,14.66,12.23,13.65,14.42,11.34,24.05,16.36,23.3
h_1,3.76,2.95,3.76,2.83,2.67,2.59,19.94,14.29,13.83,12.88,15.02,14.79,15.69,16.49,14.57,29.14
g_1,3.01,2.49,4.39,2.92,2.85,2.9,9.91,23.49,12.51,10.31,13.42,21.97,15.87,21.77,18.76,18.76
c_0,3.21,2.88,3.8,2.62,2.26,3.11,12.84,12.51,21.38,14.04,25.61,17.7,21.31,22.48,17.48,24.95
d_0,2.91,2.93,2.39,5.01,3.53,2.74,11.63,10.75,8.9,20.27,11.75,14.01,15.16,19.93,13.67,20.78
b_0,3.47,3.27,3.59,3.03,2.04,2.19,11.7,13.11,13.99,13.34,23.92,17.09,32.26,26.25,16.02,20.96
f_0,2.78,2.54,3.51,3.32,3.04,3.11,11.81,12.84,15.27,12.74,15.29,25.32,16.66,24.11,30.36,21.53
a_0,3.51,2.72,3.48,3.0,3.18,2.14,14.25,12.26,13.63,13.04,15.66,16.91,28.68,25.35,17.31,22.68
h_0,4.04,2.9,3.53,2.82,2.55,3.45,8.32,15.55,12.9,12.01,14.29,14.14,14.15,16.48,14.76,27.28
e_0,3.54,1.75,3.78,3.31,2.84,3.7,12.76,12.14,13.42,13.15,15.06,14.54,16.15,21.47,32.57,26.01
g_0,2.69,2.55,4.71,3.04,2.9,3.13,11.66,10.7,14.51,10.11,15.03,21.98,17.06,20.2,17.8,19.65
