,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,1.0,1.34,0.99,1.0,0.84,0.83,0.85,0.93,1.2,0.86,0.85,0.93,0.83,0.95,0.89,1.13
e_1,0.75,1.0,0.82,1.25,1.2,1.06,1.08,1.43,1.06,1.06,1.12,1.07,1.02,1.12,0.9,1.0
d_1,1.01,1.22,1.0,0.89,0.83,1.03,0.97,1.03,0.76,1.4,0.98,1.0,0.88,0.9,1.06,0.78
c_1,1.0,0.8,1.12,1.0,1.38,0.93,1.0,0.72,1.02,0.87,0.92,0.89,1.01,0.94,1.01,1.07
b_1,1.19,0.84,1.2,0.72,1.0,1.36,1.02,1.0,1.03,1.0,1.17,0.83,1.01,1.08,1.01,1.13
a_1,1.22,0.95,0.95,1.07,0.74,1.0,1.19,1.2,0.99,1.02,1.02,1.44,1.84,1.0,0.91,1.0
h_1,1.18,0.92,1.0,1.02,0.97,0.89,1.0,0.91,1.18,0.92,0.92,0.86,0.91,1.11,0.85,1.14
d_0,1.08,0.67,0.94,1.47,1.02,0.76,1.11,1.0,1.04,0.9,0.94,1.04,1.02,1.05,1.0,1.21
g_1,0.87,0.97,1.31,0.88,0.96,0.97,0.82,0.97,1.0,0.84,1.08,1.1,0.94,0.92,1.02,1.07
c_0,1.15,0.95,0.72,1.12,1.01,0.94,1.06,1.08,1.22,1.0,1.02,1.44,1.25,1.1,1.06,1.11
f_0,1.15,0.87,1.03,1.09,0.89,0.92,1.13,1.05,0.92,0.9,1.0,1.09,1.01,1.07,1.57,0.74
b_0,1.12,0.92,0.97,1.21,1.25,0.66,1.1,0.93,0.96,0.71,0.97,1.0,1.63,1.13,1.02,1.02
a_0,1.18,0.93,1.09,1.03,1.15,0.66,1.09,0.97,1.03,0.82,0.96,0.63,1.0,1.08,0.97,0.96
h_0,1.07,0.96,1.09,1.08,0.9,0.91,0.88,0.96,1.08,0.91,0.89,0.95,0.94,1.0,0.98,1.18
e_0,1.15,1.02,0.93,1.02,1.03,1.16,1.12,0.87,1.02,0.9,0.67,1.0,1.01,1.01,1.0,0.91
g_0,0.89,0.97,1.24,0.97,0.84,1.05,0.9,0.87,0.94,0.89,1.38,0.96,0.96,0.85,1.05,1.0
