,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.18,6.29,14.77,10.73,12.76,8.14,3.9,4.38,4.24,2.71,2.95,3.16,2.9,2.07,,1.76
f_1,13.5,0.17,14.53,16.89,10.35,17.98,2.89,2.98,2.71,2.27,,2.65,2.48,1.07,2.31,2.34
d_1,12.15,15.41,0.17,14.0,12.86,14.95,4.83,2.86,2.18,,2.07,2.53,2.45,1.6,3.23,0.99
c_1,16.28,11.26,16.07,0.14,15.65,15.34,3.62,2.29,,1.43,2.95,2.6,2.52,1.82,2.49,1.68
b_1,13.55,12.23,11.72,7.17,0.13,13.26,4.15,3.2,3.38,2.45,3.46,,3.74,1.56,1.98,2.27
a_1,12.37,16.92,9.17,13.63,8.67,0.09,3.23,3.62,2.52,,2.78,2.77,,1.59,,1.72
h_1,3.18,3.1,3.22,2.65,2.93,3.09,0.07,1.43,0.67,0.68,0.82,0.59,0.57,,0.57,0.68
g_1,2.63,4.24,3.02,3.61,4.11,4.1,0.8,0.06,0.61,0.78,0.74,0.65,0.7,0.32,,
c_0,2.21,2.71,1.49,,2.86,2.52,0.75,0.72,0.08,0.46,0.4,0.61,0.71,0.34,0.64,0.34
d_0,1.68,2.21,,2.97,2.54,,0.59,1.21,0.48,0.08,0.44,0.45,0.57,0.35,0.44,0.43
f_0,2.95,,2.81,2.61,2.23,2.96,0.79,0.49,0.5,0.67,0.07,0.37,0.44,0.4,0.5,0.25
b_0,3.55,3.18,3.27,2.71,,3.7,0.56,0.59,0.25,0.54,0.58,0.07,0.64,0.37,0.34,0.38
a_0,4.16,2.82,3.06,2.52,3.74,,0.55,0.55,0.54,0.52,0.68,0.31,0.05,0.45,,0.35
h_0,1.69,2.06,1.97,1.76,1.34,1.34,,0.44,0.38,0.24,0.4,0.44,0.31,,0.26,0.2
e_0,,4.27,1.83,2.63,3.63,,0.6,,0.51,0.58,0.23,0.66,,0.46,0.05,0.31
g_0,1.65,1.82,1.68,2.0,2.14,2.12,0.31,,0.28,0.39,0.29,0.34,0.46,0.23,0.31,
