,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.38,0.22,0.21,0.28,0.32,0.31,0.66,0.8,0.53,0.75,0.53,0.57,0.77,0.82,0.64,
f_1,0.5,2.47,0.32,0.29,0.29,0.22,0.43,0.61,0.41,0.56,0.6,,0.73,0.49,0.9,0.4
d_1,0.32,0.27,2.5,0.23,0.29,0.26,0.63,,0.48,1.05,0.66,0.63,0.8,0.52,0.67,0.56
c_1,0.27,0.27,0.31,2.52,0.42,0.34,0.67,0.53,0.63,,0.47,0.61,0.75,0.6,0.7,0.58
b_1,0.25,0.26,0.31,0.25,2.64,0.43,0.65,0.48,0.53,0.7,,0.68,0.7,0.52,0.85,
a_1,0.21,0.28,0.27,0.25,0.29,3.22,0.51,0.67,,0.71,0.6,0.75,0.87,,0.56,0.73
h_1,0.46,0.73,0.52,0.34,0.47,0.61,3.86,1.3,1.55,0.85,0.95,1.06,,1.22,2.59,1.34
d_0,0.61,0.59,,1.01,0.66,0.64,1.05,3.4,0.89,1.17,1.77,1.26,1.89,1.23,1.43,1.74
g_1,0.46,0.63,0.76,0.48,0.53,,0.84,1.5,4.37,1.3,1.22,1.76,1.15,0.97,,1.19
c_0,0.55,0.77,0.45,,0.52,0.62,1.39,1.82,1.03,3.59,2.1,1.51,1.97,1.07,1.71,1.21
b_0,0.67,0.62,0.52,0.76,,0.57,1.58,1.09,0.88,1.19,3.87,1.66,1.76,2.67,1.28,1.19
f_0,0.52,,0.73,0.69,0.58,0.53,1.38,1.49,1.28,1.3,1.02,3.85,2.12,1.42,1.75,
h_0,0.9,0.89,0.68,0.78,0.9,0.54,,1.56,1.99,1.41,1.99,1.16,,1.73,2.17,2.02
a_0,0.49,0.65,0.68,0.45,0.47,,1.22,1.55,1.61,1.48,1.1,1.58,1.97,4.61,,
g_0,0.64,0.61,1.1,0.84,0.67,0.77,1.07,1.95,,1.77,1.92,2.2,2.17,,,
e_0,,0.8,0.75,0.77,,0.63,1.04,1.27,1.09,1.69,1.96,,1.54,,,4.89
