,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.43,3.84,3.31,3.47,3.85,4.24,1.56,2.37,1.68,1.36,1.61,,1.66,1.09,1.26,1.48
e_1,2.5,0.41,3.91,3.81,3.59,3.53,1.77,1.91,1.51,1.94,1.95,1.71,1.36,1.37,,1.3
d_1,4.28,3.43,0.41,5.91,3.13,3.35,1.97,1.37,1.9,,1.48,1.42,1.36,1.17,1.89,0.93
c_1,3.39,3.5,2.46,0.39,4.65,3.43,1.85,2.73,,0.9,1.96,1.79,1.56,1.51,1.5,1.61
b_1,3.51,3.84,4.38,2.08,0.37,3.69,2.02,2.36,1.8,1.66,,1.37,1.92,1.15,1.77,1.3
a_1,3.47,4.79,3.35,3.61,2.59,0.3,1.76,1.68,1.39,1.68,,,,1.63,,1.49
h_1,1.76,2.19,1.81,1.66,1.31,1.76,0.27,1.01,0.86,0.84,0.73,0.92,0.87,,0.83,0.73
g_1,1.8,1.64,1.87,1.71,1.67,2.04,0.88,0.24,1.02,0.92,0.8,0.94,0.75,0.56,0.98,
c_0,1.68,1.44,1.16,,1.66,1.77,0.86,0.72,0.28,0.72,0.85,0.77,0.91,0.61,0.61,0.57
d_0,1.59,1.08,,2.54,1.6,1.38,0.84,0.84,0.72,0.28,0.61,0.59,0.71,0.59,0.87,0.6
b_0,1.48,1.41,1.8,1.48,,,0.88,1.04,0.42,0.77,0.26,0.56,0.94,0.86,0.84,0.87
f_0,,1.55,1.98,1.53,1.52,,0.97,0.67,0.71,0.78,0.99,0.25,0.64,0.54,0.77,0.33
a_0,1.59,1.63,1.81,1.84,1.92,,0.71,0.89,0.72,0.65,0.44,0.87,0.23,0.68,,0.56
h_0,1.29,1.41,1.3,1.13,1.47,1.2,,0.63,0.61,0.61,0.46,0.72,0.43,,0.43,0.66
e_0,2.08,,1.59,1.5,1.65,,0.83,0.57,0.84,0.95,0.73,0.43,,0.63,0.21,0.62
g_0,1.54,2.2,1.3,1.07,1.63,1.14,0.54,,0.62,0.54,0.47,0.68,0.77,0.33,0.62,
