,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.39,1.75,0.97,1.04,0.96,1.28,1.86,2.1,2.05,2.19,2.53,1.39,2.77,2.34,3.17,1.85
e_1,1.11,2.45,0.97,1.38,1.07,0.9,2.36,2.58,2.29,4.14,2.48,3.01,3.35,2.95,3.18,2.08
d_1,1.2,1.11,2.49,1.05,1.19,0.93,2.29,3.97,1.82,1.39,2.59,2.59,2.98,2.35,2.74,3.03
c_1,1.14,0.92,1.21,2.54,1.86,1.12,2.28,1.24,1.92,2.01,1.91,2.28,3.11,2.19,3.2,2.39
b_1,1.14,1.05,1.22,1.06,2.79,1.91,2.24,2.38,1.93,2.43,1.71,2.5,3.06,2.52,2.62,2.39
a_1,0.99,1.25,1.29,1.21,0.91,3.41,2.2,2.63,2.66,2.62,2.77,2.7,3.37,1.62,3.11,2.56
h_1,1.57,1.07,1.38,1.13,1.14,1.21,3.95,2.49,3.07,2.78,3.01,2.6,2.29,2.36,4.53,2.64
c_0,1.53,1.18,1.04,1.13,1.04,1.21,2.62,3.91,3.16,3.28,4.99,3.13,3.62,3.46,3.13,3.14
g_1,1.21,1.15,1.72,1.27,1.32,1.04,2.15,2.45,4.48,2.35,2.6,3.5,2.7,2.84,2.05,3.0
d_0,1.34,0.93,1.07,2.18,1.19,1.17,2.44,1.96,2.68,3.97,3.04,2.74,3.44,3.12,4.2,3.19
b_0,1.49,1.18,1.29,1.53,0.69,1.05,2.12,2.21,2.57,2.93,4.4,2.82,3.67,5.51,3.65,2.9
f_0,1.11,0.95,1.38,1.42,1.32,1.26,2.71,2.67,2.37,2.74,2.62,4.39,3.25,3.2,2.74,5.75
h_0,1.76,1.16,1.25,1.27,1.13,1.11,1.76,2.52,3.56,2.6,2.69,2.59,2.76,2.58,3.81,2.13
a_0,1.37,1.06,1.59,1.32,1.27,0.8,2.7,2.5,2.22,2.95,2.24,2.71,3.92,4.8,3.52,3.43
g_0,1.11,1.13,1.77,1.32,1.28,0.98,2.12,2.94,2.43,2.52,2.7,4.1,3.28,2.26,2.6,3.27
e_0,1.54,0.88,1.28,1.46,1.23,1.24,2.35,3.06,1.99,2.61,2.5,2.3,3.93,2.44,3.58,5.1
