,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,9.68,0.74,0.59,1.02,0.7,0.58,0.96,2.22,0.89,0.88,1.11,1.01,1.09,1.05,0.92,0.71
f_1,1.77,9.94,0.66,0.73,0.6,0.57,0.91,0.92,0.76,0.81,0.93,0.56,0.85,1.03,0.83,0.61
d_1,0.66,0.69,14.2,0.48,0.5,0.74,1.0,0.56,3.11,1.24,1.33,1.17,1.11,1.13,1.13,1.1
c_1,0.54,0.72,0.71,12.09,1.93,0.67,0.82,0.86,0.51,0.78,0.57,0.88,0.88,0.9,0.92,1.08
b_1,0.57,0.68,0.73,0.58,13.08,2.08,0.86,0.85,0.83,0.83,0.64,0.94,0.89,0.56,1.06,0.92
a_1,0.69,0.82,0.74,0.83,0.66,17.74,1.08,0.8,0.76,0.99,0.86,0.94,1.0,0.57,1.11,1.07
h_1,0.71,1.16,0.88,0.78,0.81,0.74,2.86,1.02,0.81,1.32,0.93,1.0,0.9,0.86,1.61,1.14
d_0,0.64,0.74,0.56,2.39,0.91,0.69,1.0,1.86,0.61,0.83,0.94,1.18,1.01,0.92,0.9,1.22
c_0,0.78,0.92,0.84,0.61,0.48,0.81,1.32,1.06,2.12,1.22,3.5,1.38,1.36,1.7,1.22,1.19
g_1,0.7,0.51,1.8,0.8,0.62,0.68,1.04,0.91,1.24,4.87,1.23,2.52,1.05,1.21,0.72,1.45
b_0,0.75,0.96,0.95,0.77,0.55,0.55,1.18,0.78,1.09,1.27,2.49,1.25,1.41,3.03,1.04,1.11
f_0,0.44,0.65,1.0,0.92,0.98,1.03,1.18,1.05,1.15,1.15,1.18,2.57,1.39,1.06,1.02,3.66
h_0,0.73,1.28,0.97,0.79,0.66,0.68,0.7,0.89,0.96,1.29,1.35,0.91,0.65,1.18,1.47,0.99
a_0,0.81,0.79,0.98,0.76,0.83,0.53,1.41,1.18,1.05,1.13,1.06,1.04,1.19,2.99,0.96,0.98
g_0,0.4,0.65,1.72,0.76,0.97,0.79,0.88,0.71,1.29,0.79,1.14,2.28,1.16,1.25,0.99,1.82
e_0,0.48,1.04,0.75,0.84,1.08,0.84,1.15,0.98,0.98,0.99,1.0,1.22,1.44,0.91,0.95,3.43
