,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,0.41,3.63,4.2,3.58,4.33,4.03,1.64,1.36,2.26,1.31,,1.73,1.18,1.71,1.61,0.95
f_1,3.63,0.41,4.42,3.47,2.9,3.09,1.54,1.98,1.75,1.75,1.53,,1.19,1.46,1.66,1.42
e_1,3.71,2.18,0.41,2.95,3.74,3.72,2.25,2.26,1.65,1.69,1.65,1.65,1.37,2.02,,1.64
c_1,4.07,4.63,3.94,0.39,4.44,2.94,1.65,1.84,,1.48,0.98,1.6,1.28,1.8,1.49,1.71
b_1,3.18,3.69,3.13,2.76,0.36,6.3,1.9,1.54,2.14,,1.76,1.22,1.41,1.99,,1.11
a_1,3.66,3.3,3.42,5.63,1.68,0.32,2.14,1.95,1.55,2.36,1.96,1.65,1.62,,1.57,1.31
h_1,1.98,1.87,1.73,1.79,1.72,1.56,0.26,1.28,0.85,0.81,0.71,0.78,,0.66,0.83,0.77
g_1,2.08,2.06,1.91,1.91,2.4,2.44,0.69,0.25,0.72,0.82,0.91,0.76,0.71,0.81,0.64,
c_0,0.94,1.65,1.74,,1.39,1.68,0.85,0.97,0.29,0.76,0.81,0.91,0.59,0.87,0.74,0.58
b_0,1.92,1.41,1.87,2.09,,1.4,0.89,0.89,0.45,0.28,0.9,0.78,0.45,1.01,0.8,0.6
d_0,,1.62,0.9,1.43,1.85,1.49,1.2,0.84,0.88,0.6,0.29,0.88,0.62,0.85,0.83,0.53
f_0,1.43,,1.86,1.54,2.1,1.89,0.91,0.71,0.58,0.65,0.65,0.26,0.61,0.54,,0.4
h_0,1.3,1.87,1.29,1.36,1.2,0.92,,0.56,0.56,0.7,0.53,0.58,,0.52,0.57,0.55
a_0,1.9,1.92,2.02,1.62,1.36,,0.97,0.86,0.66,0.47,0.66,1.04,0.72,0.23,,0.88
e_0,1.69,1.84,,1.84,,1.69,0.93,1.05,0.78,0.85,0.7,,0.53,,0.22,0.61
g_0,1.56,1.23,1.49,1.08,1.69,1.79,0.5,,0.6,0.69,0.64,0.68,0.42,0.38,0.57,
