,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,2.3,0.52,0.65,0.45,0.48,0.38,1.17,0.97,2.29,0.58,1.52,1.22,1.41,1.24,1.12,1.56
e_1,0.45,2.32,0.62,0.65,0.54,0.46,1.0,0.87,1.14,2.2,1.12,1.26,1.59,1.19,0.41,1.31
f_1,0.54,1.05,2.34,0.54,0.47,0.33,0.81,0.77,1.11,1.06,1.19,0.53,1.5,0.8,0.67,0.89
c_1,0.61,0.53,0.54,2.52,0.91,0.43,1.06,0.82,0.48,1.08,0.76,1.1,1.34,0.74,0.69,1.34
b_1,0.64,0.49,0.58,0.51,2.65,0.87,1.19,0.91,1.05,0.96,0.56,1.05,1.11,0.63,1.19,1.37
a_1,0.67,0.6,0.64,0.52,0.38,3.1,1.09,1.07,1.12,1.38,1.07,1.31,1.89,0.59,1.21,1.46
h_1,0.72,0.61,0.95,0.71,0.64,0.53,3.05,1.49,1.38,1.4,1.41,1.29,1.07,0.92,1.32,2.2
g_1,1.16,0.57,0.4,0.72,0.6,0.51,1.1,3.4,1.46,1.08,1.28,2.11,1.66,1.38,1.48,1.13
c_0,0.85,0.76,0.69,0.4,0.54,0.53,1.17,1.24,2.7,1.5,2.74,1.46,1.98,1.54,1.3,1.69
d_0,0.36,0.73,0.75,1.36,0.56,0.48,1.32,1.25,1.06,2.69,1.13,1.36,1.76,1.15,1.31,1.79
b_0,0.88,0.76,0.76,0.59,0.34,0.39,1.45,1.2,1.69,1.41,2.87,1.3,2.16,2.91,1.15,1.92
f_0,0.83,0.5,0.45,0.65,0.6,0.71,1.5,1.48,1.67,1.44,1.45,2.92,2.28,1.29,3.03,1.69
h_0,0.86,0.7,1.06,0.71,0.64,0.37,0.77,1.45,1.54,1.31,0.97,1.11,1.1,1.37,0.88,2.07
a_0,0.86,0.74,0.72,0.74,0.52,0.29,1.5,1.31,1.71,1.53,1.48,1.55,2.06,2.99,1.19,1.5
e_0,0.83,0.42,0.81,0.77,0.59,0.55,1.65,1.15,1.55,1.34,1.47,1.45,2.33,1.37,3.19,1.83
g_0,1.2,0.54,0.68,0.6,0.49,0.47,1.22,0.9,1.68,1.23,1.29,2.19,1.7,1.45,1.18,1.52
