,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.87,0.1,0.09,0.07,0.06,0.05,0.08,0.08,0.04,0.17,0.07,0.06,0.09,0.05,0.01,0.07
f_1,0.18,0.88,0.09,0.06,0.05,0.05,0.07,0.08,0.04,0.07,0.07,0.01,0.07,0.05,0.04,0.06
d_1,0.08,0.09,0.88,0.08,0.06,0.06,0.08,0.16,0.07,0.02,0.07,0.07,0.08,0.05,0.05,0.05
c_1,0.1,0.09,0.08,0.87,0.12,0.04,0.07,0.01,0.07,0.07,0.06,0.08,0.07,0.04,0.04,0.07
b_1,0.09,0.09,0.09,0.07,0.87,0.1,0.09,0.07,0.05,0.07,0.01,0.07,0.09,0.04,0.04,0.06
a_1,0.1,0.07,0.08,0.08,0.05,0.87,0.08,0.08,0.07,0.05,0.08,0.09,0.07,,0.06,0.06
h_1,0.13,0.23,0.14,0.13,0.09,0.07,0.53,0.13,0.15,0.13,0.14,0.13,0.06,0.08,0.1,0.13
c_0,0.17,0.16,0.16,0.04,0.09,0.08,0.18,0.39,0.13,0.14,0.29,0.14,0.16,0.14,0.11,0.14
g_1,0.11,0.14,0.22,0.11,0.16,0.1,0.13,0.13,0.53,0.11,0.14,0.16,0.11,0.07,0.07,0.03
d_0,0.15,0.19,0.05,0.27,0.1,0.07,0.11,0.13,0.11,0.36,0.14,0.12,0.16,0.09,0.08,0.15
b_0,0.15,0.18,0.19,0.12,0.07,0.05,0.14,0.17,0.12,0.14,0.38,0.15,0.11,0.23,0.1,0.12
f_0,0.13,0.06,0.16,0.15,0.12,0.12,0.15,0.17,0.13,0.17,0.13,0.39,0.14,0.11,0.18,0.12
h_0,0.17,0.23,0.15,0.13,0.12,0.06,0.06,0.11,0.14,0.11,0.14,0.12,0.04,0.08,0.08,0.13
a_0,0.18,0.18,0.18,0.15,0.11,,0.12,0.16,0.09,0.16,0.13,0.1,0.17,0.38,0.1,0.11
e_0,0.05,0.2,0.14,0.13,0.09,0.1,0.19,0.17,0.15,0.14,0.17,0.14,0.19,0.12,0.38,0.13
g_0,0.14,0.17,0.23,0.13,0.1,0.05,0.1,0.14,0.05,0.14,0.15,0.17,0.14,0.1,0.1,0.06
