,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,8962.28,3981.46,5276.18,9642.97,12035.39,71590.99,4876038.24,11635978.74,30670024.78,20410478.66,34120224.57,37537920.36,168796788.36,140141564.69,162191878.18,378439141.62
f_1,5486.46,10242.53,5614.49,8106.91,11835.87,53005.29,4320464.0,10904487.87,17903416.2,20986792.59,34792010.97,25069994.51,162210594.28,119147832.52,139221144.91,404075194.49
d_1,3506.71,4249.33,20058.36,5820.79,9134.71,69095.51,5242958.9,13949601.72,10339590.93,42242871.26,41878552.88,45399194.16,166677504.8,181650260.09,271836702.25,373972789.01
c_1,2995.54,3487.11,6264.74,24412.99,21956.42,64528.44,4950217.47,11335456.41,16609120.66,10166164.64,25430296.15,40883301.65,142261005.42,127145696.2,293361100.51,343730406.84
b_1,3013.35,3608.94,7246.99,9356.37,38756.37,143411.32,4525640.94,14166079.0,16154611.44,18607765.16,21136177.15,40994275.86,146616206.39,111929280.75,246045709.57,362450093.48
a_1,3459.04,4092.92,6908.22,8012.64,12013.61,366024.72,5473423.51,11056260.05,17968263.41,23656491.58,35285478.47,45951999.91,177972831.26,81093664.95,256167880.38,463776038.12
h_1,3379.92,5594.69,7750.8,8271.21,11173.38,79515.72,10569143.31,19479631.05,14879756.25,22222234.79,38076717.81,45111414.55,123928725.43,158394239.11,286463895.95,548211964.23
g_1,2798.58,4200.5,12098.55,8835.72,9776.6,72957.13,4982764.17,34711178.87,14672911.59,24883056.44,40400828.9,70365450.58,160979979.38,151421793.73,339010527.75,329554562.02
d_0,3615.36,4269.98,4583.15,15228.36,15103.63,69178.13,6006954.05,14673955.13,29923314.54,15556807.13,37799930.14,40837701.59,164486325.72,152742465.01,262771393.28,415511119.99
c_0,3757.37,5295.25,7736.76,7131.11,9975.66,68855.67,6240261.58,15440158.48,17244511.89,38985968.98,69012676.08,44037628.81,189051165.26,205569460.47,324084945.57,431742023.11
b_0,4170.73,4809.27,7579.57,8379.55,8051.88,71632.56,5612272.41,15717980.91,19653337.45,23120426.77,65421500.71,35401442.87,172140485.23,334676881.66,255139801.51,453824066.62
f_0,2921.52,3548.49,9852.84,7849.93,12891.9,84720.91,5953844.53,15166164.25,18379587.36,27778216.27,44290884.25,83251491.91,201442737.76,175459654.91,588226968.66,537490990.1
h_0,3761.35,5647.19,7753.9,8583.65,12932.03,61147.7,3845101.53,18097368.14,20218047.83,23672978.94,34366617.92,43058181.45,124799419.05,118016798.48,254932741.13,578352311.99
a_0,4099.38,5139.79,8352.99,7893.16,10570.36,52974.24,4836107.08,15267698.98,15959101.09,27313478.17,37118850.32,40161300.74,209474038.74,376922620.38,308720489.37,476106491.65
e_0,2699.93,5061.05,7308.87,8129.59,14984.68,85464.76,6215900.34,14977775.63,18160760.0,24985358.07,45675637.07,44313570.81,220256316.36,171269170.08,598822833.34,439059684.52
g_0,3583.03,3998.32,11059.75,8678.37,10965.66,74138.35,5559395.82,12240525.69,17237125.2,22695644.17,38252318.94,65789157.16,169433654.87,177798493.28,319226628.92,359574001.65
