,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,6.19,4.08,1.77,2.08,2.07,2.09,8.0,8.84,7.66,11.16,9.5,6.0,15.57,9.21,8.62,14.69
e_1,2.55,6.27,1.92,2.81,1.96,2.12,8.27,9.2,7.34,17.88,10.41,10.5,14.94,11.4,7.76,16.78
d_1,2.33,2.05,6.44,1.63,2.18,2.49,7.72,19.34,9.01,7.55,13.86,12.49,17.5,13.33,12.63,16.67
c_1,2.06,1.77,2.17,7.19,4.31,1.8,7.09,4.49,7.84,8.5,7.25,10.13,15.44,10.93,11.27,16.49
b_1,2.09,1.96,2.43,1.92,7.29,4.57,8.74,9.46,7.51,9.77,5.87,11.02,15.19,8.18,9.7,15.67
a_1,2.49,2.06,2.39,2.48,1.97,10.07,10.72,10.49,7.74,12.14,11.04,11.22,16.65,7.56,9.84,17.05
h_1,3.38,2.35,2.58,2.43,2.13,2.4,16.85,10.5,11.18,9.43,12.12,11.02,12.94,14.03,11.2,21.99
c_0,2.94,2.47,2.78,1.92,1.99,2.16,8.51,18.74,11.26,12.32,22.85,13.95,19.5,16.72,14.48,17.92
g_1,1.88,2.23,4.03,2.48,2.42,2.25,7.82,12.31,21.21,8.37,10.52,18.14,17.35,11.17,12.13,13.68
d_0,2.45,2.5,1.91,4.48,2.34,2.01,9.51,8.29,8.64,17.46,11.59,9.77,19.35,13.41,11.42,16.2
b_0,2.82,2.6,2.69,2.82,1.81,1.66,9.49,12.5,10.52,11.27,20.98,12.59,18.74,27.35,13.45,16.73
f_0,1.95,1.95,2.75,2.74,2.72,2.47,9.68,13.53,10.11,10.42,13.16,22.52,19.78,17.9,28.05,18.21
h_0,3.26,2.51,2.83,2.68,2.18,1.87,6.77,11.73,11.46,10.44,10.6,11.74,12.64,11.17,14.5,21.8
a_0,2.92,2.18,2.63,3.11,2.71,1.23,9.22,11.06,9.85,10.89,13.52,13.16,18.06,25.77,17.05,15.96
e_0,2.56,1.66,2.82,2.86,2.59,2.02,10.09,12.48,11.84,11.03,13.34,13.39,20.62,15.46,29.64,20.32
g_0,2.09,2.1,3.72,2.55,2.2,2.19,8.72,11.49,8.36,10.57,13.18,19.63,17.87,14.17,16.4,12.75
