,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.14,6.02,12.68,13.04,11.59,9.93,3.42,2.75,2.61,2.06,2.28,2.34,1.77,12.0,2.2,2.39
f_1,10.65,1.14,9.97,9.35,11.15,11.53,2.21,3.53,2.14,2.45,6.47,2.45,1.26,2.15,2.08,2.1
d_1,15.9,12.07,1.14,12.67,13.41,10.12,3.6,2.04,10.66,2.04,2.93,2.42,1.63,2.08,0.98,1.72
c_1,10.87,13.16,14.05,1.14,14.84,13.56,3.88,4.67,1.29,7.93,2.23,2.39,1.67,1.96,1.88,2.49
b_1,15.12,18.5,15.92,8.45,1.15,13.93,4.23,6.24,3.07,3.74,3.04,12.42,2.48,3.23,2.12,3.9
a_1,29.63,22.22,17.59,20.01,10.7,1.15,6.16,4.99,3.61,3.67,4.18,4.86,2.31,4.57,3.29,17.55
h_1,26.24,29.15,27.76,25.97,25.9,24.13,1.89,8.91,5.7,6.13,5.04,5.65,10.14,4.63,4.33,5.57
g_1,31.4,34.06,34.63,36.96,33.02,32.42,6.6,1.93,7.74,6.5,7.49,6.43,4.23,6.0,8.98,7.31
d_0,15.97,40.49,93.31,34.91,36.69,43.23,10.1,13.1,2.81,8.44,6.54,7.87,4.79,7.68,5.36,7.8
c_0,36.74,33.43,17.14,157.1,35.7,34.02,11.03,9.68,9.15,2.67,8.89,7.66,5.66,5.65,4.99,8.78
f_0,31.4,121.47,39.99,43.64,33.02,40.69,10.74,6.75,7.22,6.84,2.6,7.17,5.81,6.62,3.52,6.75
b_0,31.4,37.18,32.93,47.61,139.05,50.61,11.32,10.12,8.67,4.39,7.02,2.52,6.51,9.6,6.19,7.02
h_0,47.1,50.61,46.01,44.89,53.92,50.61,44.11,19.65,12.75,10.66,12.37,11.41,18.96,10.67,7.48,11.7
e_0,146.96,79.22,57.91,58.19,42.61,64.84,15.24,17.13,10.83,8.33,5.08,9.81,8.72,2.69,5.98,13.0
g_0,55.67,75.92,56.93,58.19,67.74,62.88,15.81,39.29,12.75,12.04,10.54,11.41,6.61,13.71,15.61,12.54
a_0,56.52,68.75,79.98,61.61,57.43,188.64,16.76,17.13,13.54,11.02,10.74,5.82,8.55,16.7,10.88,2.83
