,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.49,0.28,0.17,0.15,0.15,0.12,0.19,0.19,0.2,0.2,0.16,,0.24,0.15,0.16,0.14
e_1,0.15,1.51,0.19,0.18,0.15,0.1,0.19,0.13,0.22,0.33,0.12,0.2,0.23,0.13,0.23,
d_1,0.21,0.15,1.51,0.13,0.16,0.12,0.19,0.23,0.32,,0.22,0.16,0.22,0.16,0.17,0.14
c_1,0.2,0.17,0.21,1.55,0.25,0.12,0.2,0.14,,0.2,0.17,0.24,0.16,,0.24,0.15
b_1,0.18,0.19,0.18,0.17,1.58,0.2,0.23,0.15,0.2,0.17,,0.2,0.24,0.17,0.18,0.18
a_1,0.22,0.19,0.16,0.15,0.14,1.74,0.2,0.18,0.19,0.16,0.23,0.24,0.32,,0.22,
h_1,0.49,0.4,0.38,0.37,0.28,0.32,1.65,0.44,0.54,0.43,0.58,0.36,,0.34,0.62,0.33
g_1,0.32,0.39,0.48,0.49,0.42,0.33,0.45,1.71,0.56,0.43,0.5,0.54,0.42,0.27,,
c_0,0.48,0.39,0.4,,0.39,0.47,0.52,0.49,1.43,0.72,0.75,0.61,0.62,0.4,0.61,0.32
d_0,0.55,0.42,,0.66,0.48,0.5,0.58,0.61,0.42,1.37,0.55,0.51,0.68,0.45,0.51,0.46
b_0,0.51,0.49,0.43,0.49,,0.33,0.52,0.56,0.46,0.59,1.48,0.44,0.47,0.92,0.66,0.5
f_0,,0.5,0.47,0.41,0.49,0.44,0.6,0.4,0.45,0.65,0.7,1.48,0.61,0.48,0.43,0.83
h_0,0.68,0.61,0.57,0.6,0.59,0.33,,0.87,0.77,0.62,0.76,0.66,,0.73,0.92,
a_0,0.46,0.5,0.5,,0.43,,0.54,0.77,0.71,0.54,0.4,0.66,0.68,1.64,0.58,
g_0,0.62,0.5,0.85,0.52,0.53,0.56,0.71,,0.65,0.82,0.61,0.87,0.66,0.61,,
e_0,0.45,,0.62,0.58,0.48,,0.73,,0.79,0.71,0.56,0.53,,,,1.66
