,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.72,0.72,0.67,0.64,0.89,0.48,0.64,0.43,0.41,0.44,0.38,0.38,0.39,0.32,
f_1,1.39,1.0,0.92,0.91,0.91,0.73,0.51,0.41,0.37,0.47,0.3,,0.33,0.27,0.33,0.18
d_1,1.4,1.09,1.0,0.82,0.79,0.88,0.52,,0.34,0.64,0.38,0.4,0.4,0.33,0.24,0.33
c_1,1.49,1.1,1.21,1.0,1.22,0.67,0.54,0.34,0.53,,0.41,0.38,0.35,0.37,0.25,0.31
b_1,1.56,1.1,1.27,0.82,1.0,1.12,0.68,0.4,0.6,0.37,,0.5,,0.65,0.31,0.48
a_1,1.12,1.38,1.14,1.49,0.89,1.0,0.72,0.68,0.64,0.49,0.52,0.44,,0.51,0.71,
h_1,2.09,1.95,1.91,1.84,1.47,1.38,1.0,0.75,1.03,1.0,0.76,0.78,0.67,,0.58,0.78
d_0,1.56,2.45,,2.98,2.53,1.48,1.34,1.0,1.2,0.84,0.93,0.86,0.61,0.74,0.8,0.63
g_1,2.35,2.69,2.98,1.89,1.66,1.56,0.97,0.84,1.0,0.99,1.05,1.56,,0.54,,0.9
c_0,2.41,2.14,1.55,,2.7,2.05,1.0,1.19,1.01,1.0,1.14,1.14,0.74,0.97,1.07,0.64
b_0,2.27,3.37,2.63,2.43,,1.92,1.32,1.07,0.95,0.88,1.0,1.02,1.24,0.82,0.66,0.87
f_0,2.64,,2.51,2.66,2.01,2.27,1.28,1.16,0.64,0.88,0.98,1.0,1.16,0.99,0.68,1.14
a_0,2.66,2.99,2.49,2.85,,,1.49,1.65,,1.35,0.81,0.86,1.0,1.05,1.32,
h_0,2.58,3.65,3.03,2.73,1.54,1.95,,1.35,1.84,1.03,1.22,1.01,0.95,,1.17,1.02
g_0,3.16,2.99,4.21,4.03,3.26,1.41,1.72,1.25,,0.94,1.5,1.47,0.75,0.85,,0.69
e_0,,5.48,3.0,3.23,2.08,,1.28,1.58,1.11,1.55,1.15,0.88,,0.98,1.44,1.0
