,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.76,0.92,0.96,1.28,1.17,0.94,1.23,0.83,0.88,1.08,1.24,1.12,1.25,,1.0
f_1,1.32,1.0,1.04,0.96,0.93,1.02,0.78,1.09,0.86,0.85,1.0,,0.88,1.18,0.86,1.17
c_1,1.09,0.96,1.0,1.69,1.37,1.03,1.11,0.65,,0.75,1.08,0.98,0.87,0.79,1.3,0.98
d_1,1.04,1.04,0.59,1.0,0.94,1.22,1.06,,1.1,1.22,0.82,1.15,1.0,0.88,1.1,0.92
b_1,0.78,1.07,0.73,1.06,1.0,1.59,1.18,1.25,0.94,,0.86,1.18,1.14,0.88,0.87,0.92
a_1,0.85,0.98,0.97,0.82,0.63,1.0,1.05,1.31,1.41,,0.96,1.0,1.08,,1.04,0.96
h_1,1.07,1.28,0.9,0.94,0.85,0.95,1.0,1.0,0.9,0.88,0.96,1.13,,0.97,0.98,1.11
d_0,0.81,0.91,1.54,,0.8,0.77,1.0,1.0,1.07,1.03,1.1,0.79,1.03,0.89,,1.16
c_0,1.21,1.16,,0.91,1.07,0.71,1.11,0.93,1.0,1.17,0.92,0.91,0.96,1.11,0.87,0.86
b_0,1.14,1.17,1.34,0.82,,,1.13,0.97,0.85,1.0,0.92,0.84,0.94,1.17,,1.18
g_1,0.93,1.0,0.92,1.22,1.17,1.04,1.05,0.91,1.08,1.09,1.0,1.03,0.84,,0.89,
f_0,0.81,,1.02,0.87,0.85,1.0,0.88,1.27,1.1,1.19,0.97,1.0,1.24,0.94,1.19,0.77
h_0,0.89,1.14,1.15,1.0,0.88,0.93,,0.97,1.04,1.06,1.19,0.81,,1.06,0.82,1.04
a_0,0.8,0.85,1.27,1.13,1.13,,1.03,1.12,0.9,0.85,,1.06,0.94,1.0,1.0,1.04
e_0,,1.17,0.77,0.91,1.14,0.96,1.02,,1.15,,1.13,0.84,1.22,1.0,1.0,0.96
g_0,1.0,0.86,1.02,1.08,1.08,1.04,0.9,0.86,1.17,0.85,,1.31,0.96,0.97,1.04,
