,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.83,0.9,1.12,0.95,0.76,0.73,0.84,0.63,0.64,0.67,0.73,0.62,0.56,0.65,0.59
f_1,1.2,1.0,0.94,0.95,0.86,0.74,0.63,0.66,0.57,0.67,0.59,0.55,0.48,0.57,0.55,0.43
d_1,1.1,1.07,1.0,0.88,0.84,0.87,0.73,0.64,0.86,0.6,0.69,0.63,0.59,0.58,0.48,0.6
c_1,0.89,1.08,1.15,1.0,1.32,0.81,0.72,0.52,0.63,0.62,0.54,0.59,0.6,0.58,0.57,0.6
b_1,1.05,1.14,1.17,0.75,1.0,1.36,0.76,0.69,0.8,0.73,0.71,0.62,0.65,0.49,0.61,0.54
a_1,1.29,1.34,1.16,1.2,0.76,1.0,0.87,0.79,0.7,0.84,0.81,0.67,0.71,0.66,0.71,0.61
h_1,1.38,1.6,1.34,1.41,1.31,1.13,1.0,0.93,0.79,0.98,0.85,0.82,0.88,0.68,0.95,0.78
d_0,1.2,1.5,1.48,1.95,1.52,1.25,1.08,1.0,0.84,0.94,0.98,0.99,0.91,0.78,0.88,0.9
c_0,1.61,1.73,1.15,1.63,1.29,1.35,1.26,1.21,1.0,1.0,1.26,1.03,0.98,1.03,0.84,0.89
g_1,1.57,1.47,1.7,1.61,1.39,1.22,1.01,1.06,1.03,1.0,1.01,1.18,0.83,0.91,0.83,0.96
b_0,1.52,1.66,1.39,1.79,1.51,1.15,1.24,0.99,0.8,1.04,1.0,0.95,0.93,1.21,0.86,0.94
f_0,1.4,1.78,1.57,1.65,1.66,1.5,1.19,1.04,1.03,0.87,1.01,1.0,1.08,0.91,0.69,1.22
h_0,1.68,2.02,1.69,1.75,1.53,1.34,1.14,1.13,1.03,1.19,1.1,0.95,1.0,0.96,1.06,0.85
a_0,1.81,1.78,1.73,1.7,1.98,1.46,1.44,1.3,0.99,1.13,0.82,1.08,1.02,1.0,0.88,1.04
g_0,1.55,1.81,2.05,1.71,1.73,1.39,1.09,1.12,1.18,1.19,1.22,1.38,0.97,1.17,1.01,1.24
e_0,1.78,2.23,1.63,1.74,1.83,1.5,1.33,1.14,1.08,1.08,1.06,0.84,1.18,1.01,0.81,1.0
