,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.46,32.44,28.68,38.23,31.19,32.24,5.31,5.39,7.87,6.79,,7.21,3.13,9.24,5.53,6.83
e_1,16.35,0.46,37.66,31.29,33.94,36.35,12.94,6.65,12.88,5.78,6.54,5.8,4.92,,9.14,4.67
c_1,41.15,34.42,0.42,34.24,34.95,23.99,7.6,4.97,14.09,,7.09,5.25,4.45,,7.5,5.48
d_1,34.58,46.94,43.61,0.42,30.23,38.7,11.9,,5.38,5.72,7.51,9.86,4.79,5.5,7.42,2.83
b_1,39.63,46.23,21.59,45.88,0.38,39.66,9.7,7.41,12.78,9.3,7.71,,4.26,,9.63,3.94
a_1,39.48,43.53,34.86,46.0,25.78,0.34,15.22,10.55,12.62,,9.89,,6.85,6.32,,6.23
h_1,18.13,24.22,16.29,15.09,20.08,19.28,0.36,3.57,5.62,3.7,3.61,3.51,,3.31,3.49,2.07
d_0,14.03,8.25,15.26,,14.11,11.83,4.6,0.5,4.42,4.34,3.39,3.29,2.17,2.27,2.94,3.23
g_1,24.13,18.71,23.23,18.01,25.82,23.83,3.7,4.94,0.33,4.4,4.77,3.31,2.0,,4.77,
c_0,19.03,16.2,,9.05,20.28,,3.07,3.07,6.52,0.49,2.81,2.9,2.17,2.65,2.64,1.96
f_0,,20.07,16.78,12.95,20.68,20.96,7.18,2.68,2.53,2.33,0.46,3.37,2.49,3.86,,1.48
b_0,17.89,16.58,20.31,26.47,,,5.14,4.72,4.67,1.71,3.35,0.46,1.73,2.49,3.26,2.46
h_0,13.34,9.84,11.35,15.46,10.11,11.52,,2.3,4.24,2.71,2.03,2.06,,2.5,2.79,1.8
e_0,21.83,,,21.19,,17.41,7.28,6.39,,3.89,2.11,5.03,3.37,0.36,,2.43
a_0,26.93,20.48,22.92,19.05,21.35,,4.73,4.15,5.23,3.69,,2.61,4.14,,0.35,
g_0,14.68,23.58,10.76,15.15,13.84,14.23,3.36,2.66,,4.08,2.47,3.09,1.85,2.19,,
