,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,2.36,1.16,1.04,1.52,1.09,1.32,2.29,4.65,2.55,2.53,3.21,2.92,3.12,3.88,3.53,2.54
f_1,1.8,2.38,1.11,1.2,1.18,1.06,2.32,2.38,2.5,2.78,2.29,1.51,2.52,2.88,2.9,1.79
d_1,1.32,1.39,2.53,0.93,1.16,1.16,2.38,1.86,1.98,4.31,2.95,2.76,2.78,3.41,3.28,3.11
c_1,1.06,1.25,1.36,2.61,2.04,1.11,2.32,2.05,2.44,1.56,2.23,2.37,2.25,2.88,2.49,2.72
b_1,1.16,1.16,1.36,1.0,2.95,2.27,2.36,2.2,2.39,2.27,1.69,3.01,2.32,3.71,3.05,3.24
a_1,1.18,1.34,1.34,1.33,0.89,3.33,2.54,2.68,2.35,2.97,3.08,2.99,1.74,3.62,4.68,2.92
h_1,1.34,1.7,1.45,1.29,1.36,1.19,3.92,2.62,2.99,2.76,2.71,2.76,2.76,2.89,4.02,3.15
d_0,1.01,1.45,1.07,2.34,1.55,1.31,2.62,3.92,2.75,2.1,3.04,2.9,3.0,3.51,3.69,3.1
g_1,1.18,1.03,2.02,1.37,1.23,1.23,2.39,2.43,4.61,3.24,3.13,4.43,3.14,2.79,3.21,3.49
c_0,1.56,1.33,1.14,1.31,1.18,1.37,2.62,3.75,2.4,4.14,4.75,3.27,3.13,4.34,4.69,2.94
b_0,1.26,1.65,1.37,1.63,0.96,0.93,2.74,3.15,2.59,2.44,4.35,3.02,5.41,3.41,3.76,3.22
f_0,1.16,1.14,1.51,1.55,1.37,1.32,2.82,2.99,2.35,2.86,3.16,4.51,3.44,4.03,3.7,5.92
a_0,1.21,1.47,1.57,1.78,1.51,0.87,2.77,3.19,2.5,2.64,2.49,2.8,4.88,3.75,3.38,3.5
h_0,1.25,1.77,1.39,1.4,1.11,1.35,2.22,3.15,3.51,2.49,2.94,2.76,3.15,2.83,4.6,2.72
g_0,1.24,1.32,1.92,1.54,1.27,1.01,2.64,2.73,1.84,2.48,3.2,3.92,3.52,3.48,3.08,2.97
e_0,0.9,1.81,1.47,1.47,1.52,1.26,2.68,2.87,2.61,3.03,3.05,2.52,2.98,4.06,3.75,5.03
