,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.8,0.85,1.16,1.18,0.93,1.04,1.4,1.0,1.15,1.05,1.23,1.23,1.16,1.32,1.05
f_1,1.25,1.0,0.92,1.09,0.83,0.83,0.92,0.92,0.95,1.03,1.02,0.95,0.8,0.87,0.91,1.24
d_1,1.18,1.09,1.0,0.83,1.02,0.98,0.94,0.79,1.22,0.77,0.93,0.94,1.04,1.04,0.87,0.79
c_1,0.86,0.91,1.21,1.0,1.36,0.92,0.96,0.7,0.74,0.95,0.96,0.89,0.99,0.81,1.06,0.96
b_1,0.85,1.2,0.98,0.74,1.0,1.53,1.02,1.06,1.13,1.29,1.29,1.07,1.04,1.14,1.0,0.9
a_1,1.06,1.19,1.02,1.09,0.66,1.0,1.27,1.11,0.84,0.83,0.97,0.91,1.01,1.23,1.07,1.27
h_1,0.98,1.09,1.03,1.0,0.94,0.82,1.0,1.03,0.92,1.14,1.02,0.95,0.89,0.92,0.75,1.12
d_0,0.74,1.02,1.18,1.31,1.04,0.91,0.96,1.0,0.93,1.1,0.9,1.0,1.07,0.98,1.01,1.09
c_0,1.05,1.08,0.79,1.24,0.85,1.18,1.12,1.0,1.0,1.02,1.27,1.0,0.96,1.05,1.05,1.0
g_1,0.82,0.94,1.34,1.05,0.77,1.21,0.89,0.91,0.92,1.0,0.96,1.14,0.81,0.8,1.02,0.99
b_0,0.94,1.01,1.03,1.07,0.87,0.96,1.01,1.06,0.76,1.07,1.0,1.0,1.05,1.46,0.99,1.06
f_0,0.82,1.08,1.06,1.16,0.93,1.11,1.05,1.0,1.02,0.89,0.95,1.0,1.11,0.94,1.34,0.83
h_0,0.87,1.25,0.95,1.08,0.97,0.92,1.14,0.97,1.0,1.25,0.9,0.92,1.0,0.87,0.95,1.11
a_0,0.89,1.11,1.03,1.17,1.05,0.83,1.03,0.97,0.95,1.31,0.67,1.08,1.1,1.0,0.97,0.94
e_0,0.76,1.25,1.13,0.92,0.98,0.94,1.3,0.98,0.98,0.96,1.12,0.75,1.06,1.0,1.0,1.04
g_0,0.94,0.83,1.19,0.96,1.08,0.85,0.91,0.9,0.98,1.07,1.01,1.19,0.85,1.05,1.03,1.0
