,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,89.78,54.16,110.47,91.33,167.47,465.98,13119.72,29487.94,27988.81,56304.5,51160.31,81698.78,142456.58,131018.28,136243.77,298908.28
f_1,79.05,90.69,87.38,110.58,149.45,372.2,9985.46,20799.03,28214.25,48564.55,44675.66,51916.6,122557.78,135916.73,130009.19,252256.43
c_1,40.21,48.46,130.11,106.26,210.64,392.13,10786.21,14479.36,17975.55,32802.85,39931.56,54750.71,119415.36,94437.15,139150.16,211936.86
d_1,49.08,47.71,52.96,157.9,114.26,379.69,10718.69,12655.97,41516.9,53295.96,40833.51,66370.92,119548.55,110535.71,130807.85,202398.33
b_1,36.63,42.07,56.39,81.73,208.25,611.88,8778.42,14734.43,22457.0,33430.29,33880.32,53708.56,102374.94,81201.35,111164.98,169669.49
a_1,25.94,33.47,46.63,54.05,58.75,518.35,6702.38,10044.99,19296.45,31617.66,25627.56,38570.45,90983.66,59134.55,85088.47,152387.39
h_1,11.42,16.2,19.05,25.19,31.28,89.61,3763.63,3648.45,6755.64,12230.67,13709.02,17709.61,24523.88,26553.31,32885.07,68585.0
d_0,9.31,9.94,27.58,17.3,31.37,85.4,2620.12,4824.1,4666.17,9903.04,10307.44,13939.47,26893.92,22673.12,31566.95,57749.63
c_0,10.19,10.13,12.68,16.89,22.02,71.56,1959.5,3450.47,6945.18,13858.33,9627.22,13943.3,25875.17,24343.81,23820.45,45106.32
b_0,8.38,8.6,14.83,14.11,16.31,44.53,1810.91,2940.13,4352.11,10678.94,7844.88,10124.79,20461.77,33206.21,21729.51,42582.75
g_1,7.38,7.51,11.78,19.54,19.98,57.33,1756.36,2257.26,4141.8,7258.92,11849.1,13612.9,16948.17,17657.65,19852.98,34684.85
f_0,5.32,7.03,12.22,15.63,18.62,57.97,1657.07,2454.32,4069.99,7233.6,7198.47,14055.1,19890.4,16049.99,35341.4,32332.04
h_0,5.85,7.59,9.5,13.02,15.62,43.66,1264.03,1978.42,3280.86,6143.78,7333.6,7910.07,13604.33,14030.98,15857.83,36041.68
a_0,6.02,6.21,10.22,12.02,14.14,36.28,1477.08,2283.94,3154.73,4664.42,6267.6,8310.97,14155.01,20297.79,17904.96,31075.44
e_0,4.17,6.43,8.22,13.74,15.41,46.18,1265.81,1769.88,3485.94,5581.83,6386.52,6510.63,16954.77,13879.44,23256.94,28065.06
g_0,4.2,4.58,8.23,13.6,13.84,36.5,1050.34,1427.85,2857.26,4259.89,3940.56,9801.32,11984.31,10869.6,13471.17,21548.51
