,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.5,1.46,1.49,2.09,1.73,1.77,3.42,3.03,5.48,3.48,3.97,3.94,4.52,3.73,3.64,4.56
d_1,1.69,2.55,1.89,1.47,1.57,1.71,3.41,2.96,3.01,5.17,4.08,3.83,4.22,4.35,3.84,4.47
f_1,2.37,1.47,2.54,1.64,1.54,1.59,2.67,3.06,3.6,3.5,3.54,3.25,4.45,3.87,3.28,4.83
c_1,1.53,1.81,1.73,2.63,2.57,1.45,3.16,3.03,2.84,2.82,2.6,2.89,4.4,3.6,3.49,4.44
b_1,1.59,1.68,1.77,1.45,2.71,2.76,3.69,3.36,3.61,3.66,2.72,3.6,4.58,2.99,3.56,4.5
a_1,1.55,1.84,1.77,1.86,1.48,3.25,3.13,3.73,3.79,3.79,4.16,4.09,4.99,3.76,4.21,4.6
h_1,1.58,1.79,2.18,1.76,1.55,1.79,4.39,4.17,3.65,3.58,3.82,3.63,4.53,3.64,3.96,5.35
g_1,1.6,2.31,1.67,1.75,1.63,1.58,2.86,4.51,3.04,3.89,3.66,4.79,4.56,3.84,4.36,4.08
d_0,1.46,1.61,1.76,2.77,1.83,1.54,3.3,3.76,4.41,2.9,3.77,3.65,4.96,3.85,3.94,4.52
c_0,1.72,1.65,1.82,1.63,1.5,1.76,3.58,3.51,4.13,4.5,5.92,4.55,5.02,4.89,4.68,4.72
b_0,1.51,1.76,1.83,2.04,1.76,1.71,3.4,3.61,3.81,3.16,4.7,4.57,4.91,6.08,4.4,5.15
f_0,1.5,1.86,1.73,2.06,1.67,1.6,3.86,3.45,4.08,3.48,3.62,4.9,5.11,4.08,7.15,4.21
h_0,1.66,1.92,2.2,1.76,1.78,1.47,2.84,3.7,3.47,3.5,3.69,3.4,4.23,4.1,3.92,5.53
a_0,1.73,1.63,1.86,1.92,1.99,1.27,3.73,3.76,3.7,3.41,3.65,4.16,5.09,5.39,4.14,4.85
e_0,1.57,1.97,1.99,1.93,1.77,1.35,3.64,3.21,3.77,3.63,3.81,3.17,5.27,4.29,5.68,4.74
g_0,1.56,2.16,1.74,1.8,1.74,1.69,3.32,3.12,3.56,3.81,3.78,4.93,4.91,4.25,4.76,4.63
