,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.27,0.35,0.49,0.63,0.42,0.3,0.98,1.93,0.73,0.97,1.05,1.09,1.21,0.97,0.55,0.97
d_1,0.46,2.35,0.54,0.39,0.42,0.34,0.91,0.48,0.85,1.94,1.08,1.17,1.22,0.78,0.87,1.39
f_1,0.83,0.48,2.34,0.46,0.44,0.31,0.77,0.99,0.68,0.89,1.06,0.32,1.38,0.93,0.59,0.95
c_1,0.44,0.48,0.51,2.43,0.83,0.32,0.87,1.11,0.71,0.26,0.72,0.79,0.97,0.79,0.71,1.21
b_1,0.46,0.53,0.54,0.39,2.58,0.82,0.86,0.91,0.88,0.95,0.34,0.88,1.2,0.52,0.73,0.94
a_1,0.56,0.51,0.51,0.54,0.38,3.1,0.83,0.77,0.8,1.03,0.83,0.82,1.16,0.3,0.69,1.05
h_1,0.5,0.7,0.84,0.57,0.52,0.4,2.98,1.12,1.22,1.06,1.29,0.88,0.72,1.02,0.96,1.63
d_0,0.62,0.28,0.59,1.16,0.51,0.43,1.24,2.49,0.94,0.82,1.38,0.85,1.55,1.1,0.82,1.32
g_1,0.51,0.93,0.45,0.62,0.45,0.41,1.07,1.07,3.27,1.1,1.08,2.12,1.09,0.89,1.01,0.79
c_0,0.56,0.79,0.72,0.25,0.42,0.42,1.1,1.39,1.01,2.72,2.35,1.28,1.86,1.15,1.06,1.48
b_0,0.66,0.7,0.66,0.67,0.24,0.29,1.23,1.41,1.0,1.1,2.67,1.15,1.76,2.24,0.96,1.26
f_0,0.61,0.76,0.32,0.58,0.51,0.47,1.23,1.21,1.27,1.43,1.39,2.9,1.38,1.29,2.26,1.45
h_0,0.59,0.76,0.73,0.7,0.37,0.44,0.64,1.26,1.34,1.11,1.03,1.1,0.9,1.12,0.98,2.06
a_0,0.59,0.71,0.63,0.68,0.57,0.15,1.21,1.19,1.29,1.18,1.09,1.25,1.87,2.81,1.13,1.14
e_0,0.34,0.74,0.67,0.56,0.53,0.36,1.37,1.61,1.19,1.23,1.36,1.12,1.95,1.3,3.28,1.92
g_0,0.45,1.05,0.63,0.53,0.51,0.39,1.14,1.17,0.66,1.45,1.31,1.58,1.53,1.03,1.1,0.85
