,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.07,10.69,7.6,9.82,7.97,7.9,2.2,2.34,2.69,2.54,,2.66,1.49,2.88,1.86,2.53
e_1,5.43,1.07,9.81,7.87,8.22,8.49,4.03,3.15,4.18,2.36,2.43,2.31,2.27,,2.92,1.7
c_1,11.82,9.64,1.07,9.06,10.73,6.94,3.15,2.29,4.47,,2.86,2.16,2.15,,2.58,2.46
d_1,9.73,12.85,11.67,1.07,8.04,9.35,4.53,,2.34,2.88,3.21,3.27,2.12,2.11,2.71,1.39
b_1,12.11,13.28,7.32,13.31,1.07,11.74,3.86,3.39,4.36,3.62,3.11,,2.31,,3.42,1.94
a_1,13.27,13.83,12.76,13.9,8.75,1.07,6.06,5.12,4.88,,4.14,,3.53,2.9,,3.02
h_1,16.58,16.45,13.7,11.53,14.72,12.32,1.41,4.1,6.04,4.6,3.62,3.82,,3.18,3.67,2.7
d_0,14.31,9.1,15.24,,12.69,9.84,5.64,1.71,4.93,5.44,4.63,3.91,3.34,2.59,3.51,4.2
g_1,19.97,14.56,16.43,17.22,17.79,16.24,4.37,5.67,1.41,4.65,6.21,4.02,2.75,,4.86,
c_0,17.73,16.33,,10.36,16.44,,4.31,4.07,7.1,1.76,4.36,4.78,3.35,3.44,3.48,2.71
f_0,,19.0,15.99,12.94,17.87,16.39,8.39,4.0,3.5,3.72,1.71,4.63,4.08,5.44,,2.54
b_0,17.46,17.38,20.37,21.17,,,6.74,6.32,6.21,3.0,4.75,1.76,3.17,3.23,4.66,3.6
h_0,18.55,13.17,14.76,18.21,13.34,12.63,,4.39,7.05,4.89,3.78,4.16,,3.85,3.96,3.49
e_0,22.51,,,24.5,,19.31,10.48,10.28,,6.72,3.84,8.14,5.88,1.73,,4.6
a_0,29.99,21.5,24.14,21.01,20.97,,7.49,6.97,7.3,6.47,,4.66,6.69,,1.71,
g_0,18.13,28.38,14.87,22.6,19.03,16.75,6.63,4.9,,7.54,5.52,5.7,4.09,4.18,,
