,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,10688.92,2424.84,3715.2,6601.86,8315.17,31252.32,3472811.85,16566722.3,6463975.85,11224879.26,27914405.9,32310253.18,130994074.74,135431727.86,116361537.97,212988547.01
d_1,2499.64,13910.93,4096.37,3979.24,8399.09,34305.0,3228396.27,4769719.2,7584045.41,22203200.79,30046143.1,35734316.49,133241543.42,108493104.81,167705864.94,303801829.7
f_1,4523.93,3267.2,15284.6,4725.57,8655.19,33242.32,2697777.02,8660208.99,6439247.59,10232206.93,27040608.88,12173190.34,143915669.14,130460011.8,111846818.65,201000447.12
c_1,2408.48,3222.03,3915.55,21495.43,16311.3,34421.63,3170556.12,9596735.04,6655028.95,3878489.21,18006591.33,25729082.47,104315598.09,111615895.54,142999625.13,241440177.96
b_1,2538.77,3635.86,4071.92,4242.49,43027.43,85275.0,3016127.43,7722074.53,7756242.67,11192069.26,9671121.35,27294231.3,124829229.02,73744990.8,144749879.34,200716833.54
a_1,3005.59,3610.02,4087.37,5356.59,7397.98,271766.9,3102556.47,7021453.35,7553539.58,12163887.93,22071160.92,26830905.79,126859548.69,54100753.36,141331647.23,228014016.2
h_1,2893.96,4917.02,6546.31,5989.66,10246.89,41948.08,9218814.61,9663327.22,10676693.37,12519561.82,34097308.46,28219374.4,90157451.53,151134673.37,176366731.2,337652809.32
d_0,3388.35,2163.14,4581.83,12073.28,9724.25,47389.65,4164300.9,19878923.99,8663222.66,9220702.44,36333593.4,28260099.96,158075714.4,158432500.71,169476025.42,282985944.23
g_1,2922.39,6513.46,3618.49,6215.88,8827.43,40281.08,3814491.37,9277242.09,26109990.52,13630562.04,28897931.44,67749142.45,120868051.87,127641099.45,203643789.21,215321571.25
c_0,3263.41,5179.6,5181.37,3407.74,7686.36,46475.14,3954252.71,12503742.88,9193579.87,28755990.07,63775992.02,38763853.93,202355757.0,158068288.07,224396351.84,313706002.03
b_0,3750.85,4671.18,5115.04,6716.8,5687.7,31110.03,4273823.0,11848565.98,9304942.86,14051936.95,64627461.75,38347038.3,189517385.99,312097356.73,201787742.38,286596052.98
f_0,3207.11,5141.06,2817.62,6168.95,10274.52,45026.36,4352724.84,11185337.01,11169157.95,16510874.94,35359054.09,80689452.37,146400926.88,173545545.13,439814242.7,308936569.2
h_0,3216.59,5203.91,5801.37,7153.63,8117.89,44717.27,2471328.34,10565383.15,11600386.98,13862181.62,26991260.66,32262141.51,103763878.27,154206988.42,181294896.94,420237842.93
a_0,3479.23,4967.46,4599.93,6908.7,11794.5,16908.5,4143185.98,11111764.39,11160931.01,13316351.04,28291514.98,37515355.78,195165340.89,354535586.29,206862796.79,240686419.45
e_0,2010.06,4968.25,5105.2,6366.85,10120.94,35601.0,4556619.79,14041009.47,9779492.25,16388173.65,37107312.97,35962432.55,210472426.45,184579040.87,561564657.94,418651267.22
g_0,2555.52,7206.27,4408.7,5235.66,9041.98,40625.36,3824596.23,10341433.15,6121023.42,17355666.5,33548112.01,48261550.33,158570552.38,152869308.2,219076623.38,187355387.62
