,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,10535.45,165.86,267.06,179.32,361.49,1198.02,104815.98,833254.47,540063.79,724143.87,1320109.17,1225929.76,5585563.75,5503346.83,15117453.77,
f_1,265.35,13487.97,247.94,216.29,356.03,1773.45,192699.45,410668.29,367116.38,908669.08,,1287895.19,5215902.02,4260065.27,10730794.26,10085486.99
c_1,158.18,168.67,19685.55,233.31,678.47,1110.77,163320.37,431324.9,414003.63,,1583957.79,1389235.15,7032903.82,3938807.03,15742221.44,8319295.39
d_1,129.78,195.37,206.86,21052.74,376.25,1250.85,185589.0,,510808.88,1316835.36,1070228.31,1290658.34,6593264.53,4989980.02,16893268.72,11025954.69
b_1,144.33,135.79,222.11,254.48,35825.71,2782.1,161765.14,289058.67,588348.74,590909.38,1438134.86,,8917594.35,,11480750.88,9376636.01
a_1,145.35,126.48,249.9,290.47,375.48,172524.37,160444.64,377921.5,500182.3,879735.34,1426395.28,,5428554.17,,10721556.84,
h_1,419.22,804.65,992.32,1089.07,1282.44,4808.24,7987850.9,1903135.71,2337537.76,2706429.92,4897524.68,6228404.25,,15832193.3,54973242.26,45113972.15
d_0,713.18,806.48,2107.63,,1804.0,6793.95,1002567.92,13193665.95,1981736.36,2911119.84,7169227.8,7392512.55,23228731.45,39028042.88,53013929.91,59182327.22
g_1,578.92,486.14,912.82,1409.95,1414.33,7707.08,618107.51,1399932.42,29052255.01,1861425.72,6340545.34,5561075.22,18580680.72,,,
c_0,663.82,800.88,,1288.63,1933.99,4039.91,897231.3,1937279.33,1812933.23,25483613.28,6868759.26,17198557.76,34531448.05,26447153.57,62954439.39,41894985.23
f_0,605.7,,1414.88,1123.95,1176.45,6734.47,1137060.63,2410474.38,2791497.81,3273178.98,45236744.82,8311927.38,36355857.98,35820716.56,45209867.27,124973899.26
b_0,662.71,877.25,982.21,1232.99,,,1111092.04,2122002.83,1856723.06,3319446.48,5873347.26,65327999.46,34138666.98,61740059.75,58996777.26,
h_0,913.23,2264.09,1493.27,2110.09,3104.07,7481.63,,3091681.74,4910240.28,6736294.55,5334393.07,12719980.51,,49743619.25,108760882.03,63039167.91
a_0,646.67,1075.72,845.92,1227.65,,,977237.08,2802247.7,,3326803.41,7932426.93,6957260.07,34717480.81,369147927.61,55649442.38,
g_0,969.81,1240.98,1294.53,3045.47,3885.06,7377.72,1137870.5,2465795.5,,5869714.47,14566996.47,10114502.63,29105401.97,48298078.17,,117706270.13
e_0,,1134.82,1173.93,1181.5,2009.63,,776933.83,2630681.52,,5367615.58,6907147.26,,27601475.43,,63599362.72,671838052.76
