,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.8,1.59,1.42,2.22,4.16,25.43,38.92,39.51,57.62,63.21,85.4,108.05,105.56,117.07,188.1
f_1,1.24,1.0,1.39,1.48,1.83,3.32,18.27,29.33,34.25,48.86,55.13,56.97,80.22,110.41,89.85,149.32
c_1,0.62,0.73,1.0,1.51,1.93,2.91,17.87,15.28,23.99,32.83,40.99,46.47,62.82,63.14,97.27,105.48
d_1,0.7,0.68,0.66,1.0,1.18,2.67,15.37,20.97,33.67,46.84,36.26,47.08,62.97,66.38,69.72,79.26
b_1,0.45,0.55,0.52,0.85,1.0,3.15,12.8,17.99,20.82,32.98,28.43,42.6,56.49,53.21,55.27,65.15
a_1,0.24,0.3,0.34,0.38,0.32,1.0,6.2,9.06,12.76,17.79,15.9,17.11,28.02,26.51,30.98,38.72
h_1,0.04,0.05,0.05,0.06,0.08,0.16,1.0,1.05,1.67,2.39,2.6,3.09,3.5,3.86,4.93,6.83
d_0,0.02,0.03,0.06,0.05,0.06,0.12,0.89,1.0,1.14,1.88,2.31,2.26,3.34,3.16,4.27,5.55
c_0,0.03,0.03,0.04,0.03,0.05,0.09,0.6,0.81,1.0,1.8,1.4,1.83,2.36,2.46,2.88,3.18
b_0,0.02,0.02,0.03,0.02,0.03,0.05,0.41,0.53,0.57,1.0,1.07,1.16,1.78,2.54,2.01,2.89
g_1,0.02,0.02,0.02,0.03,0.04,0.07,0.39,0.43,0.69,0.96,1.0,1.28,1.22,1.55,1.75,2.51
f_0,0.01,0.02,0.02,0.02,0.02,0.05,0.34,0.43,0.54,0.84,0.82,1.0,1.45,1.28,2.42,1.69
h_0,0.01,0.01,0.02,0.02,0.02,0.04,0.27,0.29,0.42,0.59,0.86,0.66,1.0,0.98,1.11,1.66
a_0,0.01,0.01,0.02,0.01,0.02,0.04,0.28,0.33,0.36,0.39,0.66,0.8,0.99,1.0,1.18,1.58
e_0,0.01,0.01,0.01,0.02,0.02,0.03,0.2,0.24,0.34,0.51,0.6,0.44,0.94,0.9,1.0,1.31
g_0,0.01,0.01,0.01,0.01,0.02,0.02,0.15,0.18,0.29,0.34,0.4,0.61,0.59,0.61,0.76,1.0
