,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,0.42,1.16,0.92,0.92,0.89,0.84,0.24,0.26,0.17,0.18,0.19,0.18,0.12,0.16,0.14,0.09
e_1,1.02,0.42,0.6,0.91,0.94,0.9,0.26,0.2,0.3,0.21,0.24,0.2,0.14,0.19,0.3,0.16
f_1,0.85,0.84,0.41,0.99,1.06,0.87,0.19,0.2,0.31,0.18,0.23,0.17,0.1,0.17,0.17,0.15
c_1,1.16,0.75,0.99,0.4,0.86,1.02,0.26,0.12,0.27,0.24,0.18,0.18,0.14,0.18,0.18,0.15
b_1,1.17,1.0,1.27,0.65,0.37,0.91,0.33,0.2,0.32,0.34,0.21,0.4,0.17,0.23,0.2,0.16
a_1,1.26,1.1,1.32,1.31,0.67,0.33,0.41,0.27,0.38,0.29,0.25,0.33,0.2,0.4,0.28,0.18
h_1,1.76,1.69,1.86,1.78,1.46,1.52,0.28,0.38,0.56,0.34,0.36,0.39,0.35,0.34,0.32,0.28
d_0,2.36,1.23,1.86,2.07,2.11,1.7,0.56,0.31,0.61,0.44,0.39,0.42,0.31,0.37,0.42,0.34
g_1,1.92,1.89,2.01,2.15,2.18,1.52,0.45,0.46,0.26,0.45,0.37,0.42,0.25,0.4,0.39,0.36
c_0,1.25,2.3,2.08,2.87,2.03,1.64,0.6,0.63,0.52,0.29,0.43,0.47,0.32,0.41,0.41,0.32
f_0,1.88,2.09,2.91,2.2,2.1,1.84,0.57,0.44,0.4,0.44,0.29,0.44,0.31,0.34,0.4,0.22
b_0,1.71,1.96,2.09,2.83,2.41,1.83,0.63,0.54,0.55,0.26,0.44,0.29,0.3,0.46,0.46,0.31
h_0,2.25,2.15,2.5,2.27,2.47,1.96,0.85,0.51,0.64,0.49,0.49,0.45,0.41,0.42,0.42,0.33
a_0,2.24,2.72,2.58,2.71,2.75,2.84,0.63,0.6,0.53,0.43,0.46,0.29,0.35,0.26,0.44,0.33
e_0,2.11,3.32,3.83,2.83,2.23,1.84,0.73,0.53,0.55,0.52,0.29,0.52,0.34,0.43,0.27,0.34
g_0,2.34,2.69,3.1,2.38,2.18,2.35,0.62,0.58,0.79,0.53,0.53,0.54,0.3,0.47,0.48,0.38
