,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.12,2.79,4.78,5.15,6.45,4.67,1.58,1.05,1.05,1.75,1.0,1.36,0.85,1.07,3.99,0.84
f_1,4.67,1.13,4.86,6.12,4.8,4.11,1.01,1.04,0.95,1.87,1.05,2.4,0.54,0.82,1.04,1.02
d_1,7.79,6.26,1.12,5.9,5.77,5.29,1.37,2.65,0.94,0.87,1.02,0.99,0.87,1.11,0.91,0.49
c_1,4.83,5.99,9.33,1.13,5.41,5.88,1.96,0.67,3.4,1.87,1.36,1.1,0.87,1.08,1.26,0.89
b_1,6.75,9.48,6.89,3.38,1.14,8.88,2.2,1.52,2.06,2.65,4.6,1.7,1.1,2.21,1.3,0.94
a_1,10.06,10.41,9.04,10.45,4.95,1.14,3.56,2.16,1.72,2.62,1.86,1.71,1.35,7.53,1.72,1.93
h_1,19.56,15.59,16.62,21.27,18.4,15.4,1.78,4.63,3.1,5.11,3.53,3.5,3.74,2.95,2.8,2.67
d_0,11.76,21.31,52.81,19.62,21.72,19.0,6.68,2.44,5.87,7.72,4.17,4.56,2.91,4.5,4.86,3.9
c_0,24.26,21.57,11.25,67.58,22.08,25.41,6.14,6.4,2.36,6.51,4.31,4.28,2.85,4.56,4.33,2.92
g_1,22.03,25.73,21.12,27.15,18.66,32.79,4.9,5.06,4.39,1.79,4.98,3.78,2.25,3.77,3.82,5.51
b_0,21.41,23.54,23.22,29.24,41.41,23.92,6.14,5.59,2.79,7.55,2.41,4.48,3.46,5.27,4.08,3.47
f_0,24.11,56.28,23.39,28.96,25.0,28.63,7.19,5.25,5.28,4.55,4.38,2.29,3.49,3.88,4.03,2.14
h_0,29.71,40.47,33.41,38.49,35.81,32.79,17.67,6.58,7.32,10.89,6.78,5.92,9.07,6.25,6.02,5.42
a_0,33.33,41.4,36.79,53.35,55.21,92.41,9.86,8.91,7.92,15.44,4.23,7.76,6.58,2.67,7.55,4.23
e_0,72.32,66.7,41.97,37.54,33.12,33.33,15.7,9.03,8.41,9.22,8.34,3.83,5.44,7.53,2.57,5.42
g_0,45.63,39.58,37.63,42.24,46.49,38.36,10.1,9.92,8.41,20.12,8.81,7.76,4.86,6.96,8.07,9.38
