,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,1.0,0.99,1.09,1.01,1.88,2.47,17.44,24.25,19.21,23.5,43.97,36.7,85.43,83.28,79.18,95.75
f_1,1.01,1.0,1.06,1.44,1.16,2.51,14.2,24.76,26.12,29.8,36.08,40.89,64.84,55.22,86.07,99.48
d_1,0.91,0.94,1.0,1.05,1.25,3.01,16.5,17.55,26.78,39.23,37.25,46.64,73.75,83.97,78.46,77.68
e_1,1.0,0.7,0.95,1.0,1.22,3.03,14.97,22.48,33.93,28.77,42.3,39.63,78.64,97.28,85.18,106.14
b_1,0.53,0.86,0.8,0.82,1.0,3.74,15.13,17.44,21.47,26.41,31.43,32.42,62.46,59.31,68.08,74.02
a_1,0.41,0.4,0.33,0.33,0.27,1.0,4.95,9.02,9.13,10.72,13.01,15.91,26.09,33.68,29.98,37.48
h_1,0.06,0.07,0.06,0.07,0.07,0.2,1.0,1.58,1.66,1.89,2.26,2.58,4.59,4.17,5.05,7.19
g_1,0.04,0.04,0.06,0.04,0.06,0.11,0.62,1.0,1.14,1.28,2.43,1.83,2.76,3.88,3.68,4.49
d_0,0.05,0.04,0.04,0.03,0.05,0.1,0.61,0.83,1.0,0.92,1.86,1.48,2.78,3.5,3.55,3.91
c_0,0.04,0.03,0.02,0.03,0.03,0.09,0.55,0.76,1.01,1.0,1.36,2.03,2.7,3.23,3.1,3.29
f_0,0.02,0.03,0.03,0.02,0.03,0.07,0.42,0.42,0.6,0.76,1.0,1.2,1.94,3.18,2.54,2.06
b_0,0.03,0.03,0.02,0.02,0.03,0.06,0.38,0.53,0.65,0.52,0.81,1.0,1.98,2.01,3.17,2.41
h_0,0.01,0.02,0.01,0.01,0.02,0.04,0.22,0.37,0.36,0.39,0.55,0.49,1.0,1.06,1.14,1.45
e_0,0.01,0.02,0.01,0.01,0.02,0.03,0.22,0.25,0.28,0.3,0.33,0.49,1.02,1.0,1.01,1.16
a_0,0.01,0.01,0.01,0.01,0.01,0.04,0.19,0.28,0.29,0.31,0.4,0.32,0.87,0.92,1.0,1.2
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.14,0.22,0.25,0.31,0.5,0.42,0.69,0.82,0.9,1.0
