,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.96,0.91,0.58,0.58,0.48,0.34,0.36,0.41,0.33,0.35,0.29,0.33,0.33,0.2,0.22,0.28
e_1,0.65,0.96,0.71,0.53,0.51,0.42,0.41,0.58,0.35,0.37,0.38,0.33,0.39,0.24,0.26,0.29
c_1,0.72,0.58,0.96,0.61,0.82,0.48,0.39,0.32,0.36,0.27,0.35,0.26,0.36,0.23,0.24,0.33
d_1,0.7,0.71,0.51,0.96,0.52,0.44,0.44,0.36,0.37,0.6,0.41,0.43,0.37,0.28,0.25,0.28
b_1,0.74,0.67,0.61,0.62,0.95,0.77,0.43,0.47,0.37,0.38,0.35,0.29,0.39,0.27,0.26,0.33
a_1,0.84,0.76,0.74,0.7,0.54,0.94,0.46,0.49,0.39,0.4,0.39,0.42,0.44,0.31,0.3,0.35
h_1,1.19,1.0,0.98,0.89,0.73,0.57,0.81,0.53,0.63,0.51,0.5,0.52,0.45,0.33,0.36,0.52
d_0,1.05,0.85,1.39,0.84,0.88,0.64,0.67,0.73,0.54,0.47,0.61,0.53,0.56,0.38,0.4,0.55
g_1,1.07,0.96,0.87,1.27,0.78,0.59,0.62,0.58,0.8,0.58,0.74,0.57,0.54,0.47,0.49,0.43
c_0,1.15,1.14,0.93,0.91,0.77,0.63,0.73,0.67,0.64,0.74,0.6,0.92,0.63,0.48,0.51,0.51
f_0,0.99,0.86,1.09,1.01,0.94,0.77,0.72,0.67,0.57,0.69,0.76,0.61,0.61,0.74,0.44,0.5
b_0,1.19,1.14,1.16,0.98,0.78,0.58,0.7,0.61,0.63,0.51,0.59,0.74,0.63,0.46,0.68,0.56
h_0,1.42,1.1,1.01,1.01,0.88,0.7,0.65,0.69,0.7,0.59,0.61,0.61,0.59,0.46,0.46,0.6
e_0,1.22,1.04,1.23,1.14,1.11,0.76,0.86,0.76,0.63,0.64,0.61,0.67,0.75,0.69,0.55,0.61
a_0,1.44,1.21,1.27,1.05,0.99,0.63,0.77,0.7,0.6,0.6,0.64,0.53,0.71,0.49,0.68,0.61
g_0,1.07,1.16,1.13,1.43,1.01,0.77,0.69,0.64,0.61,0.77,0.87,0.69,0.64,0.6,0.45,0.53
