,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.18,1.03,1.85,1.54,1.62,1.72,0.52,0.51,0.32,0.34,0.35,0.41,0.35,0.28,0.99,0.31
f_1,1.56,0.17,1.41,2.07,1.78,1.57,0.32,0.49,0.36,0.41,0.35,1.78,0.32,0.16,0.25,0.24
d_1,1.85,1.51,0.17,1.67,1.4,2.07,0.46,0.33,0.33,1.6,0.35,0.33,0.28,0.23,0.39,0.18
c_1,1.58,1.66,2.45,0.14,1.97,1.42,0.48,0.42,1.0,0.16,0.33,0.31,0.34,0.24,0.37,0.23
b_1,1.67,1.64,1.62,0.91,0.13,1.85,0.64,0.59,0.38,0.37,1.24,0.35,0.51,0.24,0.38,0.24
a_1,1.85,1.71,1.69,1.87,0.81,0.09,0.51,0.55,0.44,0.43,0.46,0.32,1.58,0.37,0.29,0.36
h_1,1.03,0.96,0.81,1.01,1.03,0.86,0.07,0.31,0.18,0.22,0.17,0.17,0.18,0.34,0.16,0.12
g_1,0.93,1.12,0.82,1.04,0.96,0.96,0.22,0.06,0.18,0.19,0.18,0.19,0.18,0.11,0.2,0.24
c_0,1.07,1.19,0.46,4.77,1.13,0.7,0.26,0.25,0.07,0.28,0.23,0.17,0.17,0.14,0.22,0.11
d_0,0.42,1.12,2.95,0.88,1.19,1.11,0.3,0.29,0.22,0.07,0.24,0.18,0.27,0.13,0.2,0.17
b_0,0.82,1.02,0.83,0.93,3.39,1.07,0.25,0.28,0.11,0.18,0.06,0.12,0.18,0.15,0.18,0.11
f_0,0.74,3.56,0.82,0.95,0.86,0.72,0.22,0.19,0.14,0.18,0.18,0.06,0.17,0.18,0.29,0.1
a_0,0.84,0.89,0.86,1.25,1.45,2.22,0.25,0.33,0.18,0.19,0.07,0.15,0.05,0.1,0.17,0.11
h_0,0.92,0.96,0.92,1.04,0.81,0.84,0.76,0.26,0.17,0.17,0.14,0.14,0.15,0.33,0.14,0.12
e_0,1.82,1.26,0.87,0.91,0.87,0.99,0.25,0.19,0.17,0.21,0.13,0.08,0.16,0.11,0.04,0.12
g_0,1.0,1.18,0.8,0.76,1.02,0.86,0.28,0.6,0.16,0.19,0.16,0.16,0.18,0.1,0.15,
