,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,2.47,1.35,1.05,0.89,1.04,1.17,2.37,1.79,3.8,1.85,2.91,2.6,2.93,2.75,2.72,2.54
f_1,0.98,2.46,1.77,1.21,0.96,0.98,2.04,2.4,2.48,1.99,2.42,1.46,2.99,2.06,1.65,2.69
e_1,1.06,1.05,2.52,1.29,1.19,1.08,2.03,4.14,2.35,2.39,2.4,2.63,3.45,2.62,1.62,3.42
c_1,1.31,0.99,1.03,2.58,1.82,0.8,2.13,2.04,1.34,2.16,1.89,2.44,2.94,2.58,2.72,3.33
b_1,1.18,1.15,1.02,1.03,2.75,2.05,2.3,2.68,2.0,2.12,1.7,2.48,2.69,1.89,2.71,2.54
a_1,1.16,1.47,1.08,1.29,0.71,3.2,2.17,2.13,2.29,2.3,2.6,2.8,3.26,1.92,2.49,3.37
h_1,1.27,1.6,1.14,1.26,1.18,1.2,3.99,2.42,2.58,2.84,2.46,2.74,2.53,2.49,3.01,3.92
d_0,0.69,1.14,0.97,2.1,1.31,1.47,2.49,3.85,2.27,2.4,3.09,2.75,3.6,2.86,2.56,3.97
c_0,1.23,1.31,1.29,1.07,1.2,1.3,2.79,2.85,3.86,2.68,4.34,3.03,3.34,3.47,2.75,3.54
g_1,1.76,1.14,0.98,1.32,1.35,1.13,2.12,2.35,2.53,4.43,2.55,4.12,3.05,2.26,3.02,2.9
b_0,1.21,1.38,1.21,1.47,0.8,0.98,2.9,2.45,2.48,2.69,4.23,2.94,3.88,4.77,3.51,3.63
f_0,1.52,0.9,1.11,1.35,1.43,0.95,2.29,2.43,3.0,2.39,2.82,4.33,3.81,2.88,5.42,2.93
h_0,1.28,1.58,1.06,1.23,1.3,1.27,1.83,2.55,2.79,3.26,2.82,2.78,2.47,2.91,2.67,4.41
a_0,1.36,1.33,1.24,1.34,1.21,0.77,2.89,2.65,2.6,2.66,2.64,2.46,3.59,4.94,2.99,3.52
e_0,1.3,1.46,1.12,1.19,1.47,1.07,2.29,2.8,3.37,2.42,2.51,2.57,4.11,3.1,5.0,3.97
g_0,1.9,1.22,0.91,1.23,1.45,1.29,2.07,2.08,2.67,2.07,2.78,4.04,2.95,2.72,3.16,3.11
