,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.42,0.46,0.71,0.77,0.73,0.61,0.4,0.39,0.36,0.37,0.35,0.33,0.31,0.27,0.34,0.28
f_1,0.73,0.4,0.65,0.73,0.6,0.63,0.27,0.36,0.27,0.28,0.34,0.29,0.27,0.19,0.24,0.28
d_1,0.71,0.74,0.4,0.61,0.68,0.66,0.37,0.28,0.31,0.37,0.27,0.32,0.29,0.24,0.34,0.18
c_1,0.57,0.64,0.82,0.37,0.74,0.66,0.36,0.33,0.3,0.2,0.29,0.26,0.3,0.28,0.31,0.25
b_1,0.64,0.77,0.7,0.43,0.36,0.84,0.38,0.36,0.38,0.29,0.35,0.4,0.33,0.28,0.27,0.28
a_1,0.68,0.74,0.65,0.69,0.4,0.3,0.39,0.44,0.33,0.43,0.34,0.39,0.45,0.28,0.38,0.3
h_1,0.62,0.7,0.57,0.61,0.61,0.58,0.24,0.41,0.27,0.3,0.28,0.28,0.26,0.3,0.28,0.26
g_1,0.59,0.71,0.67,0.66,0.61,0.53,0.27,0.23,0.29,0.27,0.32,0.29,0.27,0.21,0.3,0.28
c_0,0.62,0.73,0.44,0.98,0.63,0.58,0.35,0.33,0.23,0.37,0.28,0.35,0.33,0.27,0.32,0.25
d_0,0.43,0.61,0.77,0.8,0.7,0.52,0.34,0.37,0.28,0.23,0.26,0.28,0.32,0.29,0.31,0.25
f_0,0.58,0.92,0.58,0.66,0.61,0.56,0.36,0.25,0.29,0.3,0.21,0.27,0.29,0.25,0.31,0.18
b_0,0.61,0.68,0.5,0.87,0.82,0.59,0.3,0.34,0.18,0.29,0.28,0.21,0.33,0.27,0.25,0.23
a_0,0.6,0.64,0.61,0.65,0.81,0.64,0.37,0.38,0.25,0.27,0.29,0.17,0.19,0.26,0.22,0.22
h_0,0.61,0.73,0.67,0.62,0.57,0.51,0.37,0.33,0.26,0.25,0.28,0.26,0.28,0.26,0.27,0.27
e_0,0.71,0.82,0.57,0.64,0.63,0.49,0.33,0.34,0.26,0.26,0.17,0.27,0.3,0.25,0.19,0.22
g_0,0.61,0.7,0.62,0.65,0.64,0.6,0.27,0.34,0.26,0.3,0.32,0.25,0.29,0.19,0.26,0.26
