,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.15,1.07,0.9,0.88,0.73,0.44,0.45,0.41,0.4,0.41,,0.34,0.33,0.28,0.28
e_1,0.87,1.0,1.08,0.92,1.05,0.55,0.56,0.56,0.48,0.4,0.4,0.42,0.28,0.32,,0.31
c_1,0.94,0.93,1.0,1.18,1.09,1.0,0.58,0.45,0.34,,0.46,0.34,0.36,0.27,0.38,0.35
d_1,1.11,1.09,0.85,1.0,1.09,0.67,0.46,0.36,,0.56,0.52,0.38,0.43,0.35,0.37,0.2
b_1,1.13,0.95,0.92,0.91,1.0,1.27,0.53,0.47,0.52,0.59,,0.47,0.38,0.35,0.33,0.4
a_1,1.38,1.8,1.0,1.49,0.79,1.0,0.85,0.66,0.68,0.54,0.56,0.48,0.47,,0.44,0.37
h_1,2.26,1.77,1.74,2.18,1.9,1.18,1.0,0.94,0.88,0.83,0.83,0.65,,0.64,0.65,0.8
g_1,2.24,1.79,2.23,2.79,2.11,1.52,1.06,1.0,0.96,0.83,0.89,1.14,0.58,,0.85,
d_0,2.42,2.09,2.92,,1.92,1.46,1.14,1.04,1.0,1.07,0.87,0.92,0.88,0.74,0.59,0.79
c_0,2.49,2.48,,1.78,1.7,1.84,1.21,1.2,0.93,1.0,1.28,0.74,1.01,0.83,0.68,0.8
b_0,2.45,2.5,2.19,1.91,,1.78,1.21,1.12,1.15,0.78,1.0,1.35,0.93,1.0,0.87,1.08
f_0,,2.39,2.92,2.66,2.14,2.1,1.54,0.88,1.08,1.35,0.74,1.0,1.01,,1.04,0.75
h_0,2.94,3.53,2.81,2.31,2.62,2.11,,1.71,1.14,0.99,1.08,0.99,,0.99,0.78,1.01
a_0,3.06,3.09,3.66,2.84,2.87,,1.56,,1.34,1.21,1.0,,1.01,1.0,,0.8
e_0,3.61,,2.64,2.7,3.03,2.29,1.53,1.18,1.7,1.47,1.15,0.96,1.28,,1.0,0.87
g_0,3.6,3.21,2.83,4.89,2.49,2.74,1.25,,1.26,1.24,0.93,1.33,0.99,1.25,1.15,
