,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,0.41,0.72,0.61,0.71,0.63,0.56,0.3,0.3,0.42,0.27,0.37,0.3,0.28,0.2,0.28,0.29
e_1,0.47,0.41,0.6,0.86,0.74,0.63,0.37,0.41,0.4,0.3,0.36,0.32,0.31,0.29,0.43,0.27
d_1,0.67,0.79,0.39,0.63,0.64,0.63,0.35,0.38,0.24,0.34,0.3,0.3,0.26,0.24,0.28,0.18
c_1,0.66,0.52,0.85,0.38,0.81,0.68,0.35,0.19,0.37,0.37,0.28,0.28,0.3,0.23,0.28,0.25
b_1,0.75,0.66,0.8,0.43,0.37,0.81,0.37,0.3,0.38,0.36,0.31,0.34,0.29,0.28,0.27,0.3
a_1,0.83,0.7,0.64,0.65,0.39,0.3,0.44,0.38,0.42,0.33,0.31,0.46,0.53,0.28,0.3,0.26
h_1,0.71,0.6,0.59,0.66,0.64,0.56,0.24,0.28,0.35,0.25,0.27,0.26,0.25,0.3,0.25,0.25
d_0,0.65,0.4,0.74,0.74,0.72,0.59,0.38,0.24,0.36,0.3,0.28,0.32,0.27,0.27,0.3,0.28
g_1,0.62,0.61,0.7,0.62,0.64,0.61,0.27,0.31,0.21,0.25,0.28,0.3,0.27,0.19,0.28,0.3
c_0,0.72,0.65,0.42,0.9,0.72,0.53,0.36,0.37,0.36,0.23,0.27,0.33,0.29,0.27,0.29,0.24
f_0,0.8,0.59,0.61,0.61,0.61,0.58,0.36,0.32,0.28,0.26,0.22,0.31,0.27,0.25,0.38,0.16
b_0,0.68,0.61,0.56,0.82,0.85,0.48,0.36,0.29,0.32,0.18,0.25,0.21,0.34,0.27,0.28,0.23
a_0,0.75,0.61,0.63,0.68,0.76,0.61,0.36,0.31,0.29,0.24,0.24,0.17,0.2,0.26,0.27,0.24
h_0,0.67,0.6,0.61,0.64,0.61,0.55,0.35,0.27,0.36,0.27,0.27,0.3,0.25,0.28,0.26,0.26
e_0,0.81,0.66,0.61,0.6,0.63,0.65,0.34,0.25,0.33,0.26,0.17,0.28,0.27,0.25,0.19,0.19
g_0,0.6,0.61,0.65,0.65,0.58,0.64,0.27,0.27,0.35,0.27,0.35,0.31,0.25,0.2,0.28,0.26
