,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.79,0.76,0.99,1.01,0.55,0.8,0.83,0.7,0.75,0.58,0.62,0.57,0.57,,0.59
d_1,1.27,1.0,1.09,0.89,0.92,0.77,0.69,,0.51,0.77,0.59,0.74,0.49,0.6,0.67,0.53
f_1,1.31,0.92,1.0,1.05,0.92,0.84,0.54,0.71,0.65,0.57,0.74,,0.56,0.72,0.54,0.59
c_1,1.01,1.12,0.96,1.0,1.44,0.81,0.76,0.53,0.65,,0.54,0.6,0.58,0.48,0.71,0.74
b_1,0.99,1.09,1.09,0.69,1.0,1.39,0.78,0.71,0.84,0.72,,0.68,0.68,0.58,0.66,0.53
a_1,1.82,1.3,1.18,1.24,0.72,1.0,0.74,0.58,0.8,0.81,,0.61,0.67,,,0.61
h_1,1.26,1.45,1.86,1.31,1.29,1.35,1.0,0.83,1.23,0.92,0.87,0.9,,0.79,0.73,0.66
d_0,1.2,,1.41,1.89,1.4,1.71,1.21,1.0,0.94,0.95,1.07,0.83,0.93,0.79,0.59,0.85
g_1,1.43,1.98,1.55,1.54,1.2,1.25,0.81,1.06,1.0,0.84,0.97,1.18,0.67,0.89,0.93,
c_0,1.33,1.3,1.77,,1.38,1.23,1.09,1.05,1.18,1.0,1.12,0.92,1.32,0.66,0.7,0.74
b_0,1.72,1.69,1.34,1.85,,,1.15,0.93,1.03,0.9,1.0,0.99,1.05,1.51,0.68,0.84
f_0,1.62,1.34,,1.66,1.48,1.64,1.11,1.21,0.84,1.09,1.01,1.0,0.93,0.97,1.33,0.8
h_0,1.76,2.03,1.77,1.73,1.46,1.5,,1.08,1.49,0.76,0.95,1.07,,0.84,0.99,1.16
a_0,1.76,1.65,1.4,2.1,1.71,,1.26,1.27,1.13,1.51,0.66,1.03,1.19,1.0,,
e_0,,1.49,1.84,1.41,1.5,,1.38,1.71,1.08,1.43,1.47,0.75,1.01,,1.0,1.0
g_0,1.69,1.89,1.7,1.35,1.88,1.64,1.51,1.17,,1.36,1.2,1.26,0.86,,1.0,
