,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,1.52,0.51,0.43,0.37,0.47,0.38,0.49,0.46,0.96,0.59,0.29,0.57,0.57,0.39,0.49,0.54
f_1,0.44,1.52,0.76,0.42,0.4,0.44,0.51,0.45,0.52,0.57,0.52,0.17,0.47,0.47,0.41,0.52
e_1,0.44,0.41,1.52,0.53,0.48,0.37,0.58,0.52,0.52,0.5,0.95,0.53,0.61,0.45,0.23,0.45
c_1,0.54,0.44,0.48,1.56,0.68,0.31,0.53,0.55,0.24,0.45,0.53,0.6,0.56,0.51,0.43,0.6
b_1,0.44,0.58,0.45,0.36,1.6,0.82,0.56,0.44,0.6,0.19,0.45,0.45,0.59,0.54,0.43,0.54
a_1,0.52,0.53,0.56,0.51,0.26,1.71,0.67,0.52,0.61,0.78,0.67,0.5,0.88,0.26,0.59,0.54
h_1,0.88,0.93,0.58,0.79,0.68,0.48,1.68,0.98,0.84,0.86,0.63,0.78,0.48,0.7,0.76,1.05
g_1,1.16,0.66,0.63,0.75,0.67,0.55,0.74,1.74,0.73,0.82,0.63,1.1,0.98,0.7,0.66,0.58
c_0,0.7,0.87,0.79,0.5,0.65,0.69,0.91,0.95,1.54,1.61,0.91,1.17,1.13,0.9,0.88,0.99
b_0,0.8,0.89,0.79,0.91,0.46,0.49,0.91,0.86,0.79,1.52,1.0,0.97,0.99,1.31,0.79,0.84
d_0,0.42,0.78,0.66,1.37,0.67,0.5,0.95,0.98,0.83,0.85,1.46,0.89,1.04,0.84,0.83,0.68
f_0,0.86,0.75,0.7,0.83,0.94,0.61,0.83,0.81,0.78,0.93,0.86,1.56,1.07,0.69,1.52,0.82
h_0,0.98,0.96,0.72,0.8,0.75,0.48,0.69,1.01,0.88,1.05,0.92,0.99,0.68,0.74,0.94,1.07
a_0,0.95,0.89,0.7,0.84,0.69,0.32,1.11,0.94,0.99,0.85,1.07,1.18,1.28,1.67,0.74,1.31
e_0,0.91,0.89,0.31,0.99,0.75,0.61,0.91,1.13,0.89,1.07,0.8,0.74,1.09,1.12,1.69,1.02
g_0,1.1,0.72,0.72,0.76,0.85,0.66,0.92,0.61,0.94,1.01,1.08,1.31,0.94,0.64,0.85,0.68
