,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.78,0.8,1.04,0.94,0.69,0.49,0.59,0.41,0.49,0.42,0.47,0.39,0.35,0.39,0.32
f_1,1.28,1.0,0.89,0.98,0.74,0.63,0.44,0.42,0.41,0.45,0.42,0.38,0.27,0.28,0.28,0.38
d_1,1.24,1.11,1.0,0.82,0.91,0.74,0.49,0.38,0.56,0.35,0.42,0.39,0.37,0.34,0.29,0.26
c_1,0.96,1.01,1.22,1.0,1.27,0.77,0.52,0.35,0.38,0.44,0.41,0.39,0.35,0.29,0.36,0.33
b_1,1.06,1.34,1.1,0.79,1.0,1.33,0.59,0.53,0.58,0.64,0.57,0.5,0.41,0.4,0.36,0.33
a_1,1.43,1.59,1.33,1.31,0.76,1.0,0.79,0.65,0.5,0.48,0.55,0.49,0.47,0.49,0.45,0.5
h_1,2.04,2.33,2.0,1.88,1.67,1.31,1.0,0.87,0.85,1.02,0.87,0.81,0.65,0.62,0.5,0.73
d_0,1.73,2.25,2.43,2.72,2.06,1.51,1.12,1.0,0.87,1.03,0.89,0.91,0.81,0.73,0.72,0.82
c_0,2.51,2.6,1.73,2.48,1.76,1.97,1.22,1.08,1.0,1.01,1.19,0.87,0.75,0.81,0.73,0.71
g_1,1.99,2.17,2.92,2.25,1.62,2.08,1.0,0.94,0.92,1.0,0.92,1.08,0.63,0.61,0.77,0.68
b_0,2.33,2.5,2.26,2.45,1.87,1.72,1.22,1.09,0.82,1.11,1.0,0.97,0.87,1.14,0.73,0.78
f_0,2.22,2.78,2.51,2.58,1.98,1.97,1.24,1.07,1.17,0.92,0.97,1.0,0.95,0.73,1.08,0.63
h_0,2.75,3.63,2.75,2.87,2.45,2.0,1.52,1.26,1.28,1.58,1.12,1.05,1.0,0.88,0.93,0.99
a_0,3.01,3.49,3.08,3.13,2.77,1.93,1.55,1.29,1.23,1.71,0.89,1.41,1.16,1.0,0.87,0.92
e_0,2.71,3.91,3.23,2.67,2.63,2.23,1.97,1.42,1.43,1.29,1.47,0.93,1.09,1.08,1.0,0.96
g_0,3.2,2.87,3.61,2.85,2.88,2.16,1.38,1.22,1.42,1.51,1.29,1.54,0.97,1.12,1.08,1.0
