,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.66,2.0,1.45,1.99,2.14,2.07,0.95,1.02,0.94,0.67,0.81,0.8,0.76,0.76,1.54,0.65
d_1,2.43,0.65,2.36,2.09,1.94,1.63,1.2,0.63,1.95,0.82,0.77,0.65,0.47,0.87,0.63,0.46
f_1,2.45,2.01,0.66,1.85,2.05,2.48,0.67,0.99,0.66,0.7,0.69,1.53,0.47,0.82,0.62,0.68
c_1,2.06,2.39,2.13,0.64,2.64,1.8,0.98,0.88,0.53,1.53,0.67,0.77,0.63,0.63,0.74,0.51
b_1,2.05,2.29,2.23,1.39,0.63,2.75,1.24,1.15,0.9,0.97,1.55,0.86,0.67,0.61,0.82,0.74
a_1,2.58,3.05,2.42,3.46,1.44,0.58,0.94,1.51,1.07,1.08,1.06,0.91,1.04,1.58,1.09,0.82
h_1,2.73,2.24,3.51,2.84,2.19,2.72,0.59,1.22,1.04,1.05,1.13,0.96,1.29,0.83,0.79,0.83
g_1,3.02,2.98,2.98,2.67,2.43,2.12,1.07,0.59,0.93,0.97,0.98,1.18,0.73,0.81,0.95,1.27
d_0,1.67,4.46,3.36,3.43,3.11,2.58,1.28,1.64,0.66,1.18,1.12,1.02,0.88,0.96,0.94,0.84
c_0,3.14,1.85,2.95,5.96,2.89,2.62,1.29,1.5,1.25,0.68,1.21,1.12,0.93,1.17,0.93,0.71
b_0,2.72,2.6,3.11,3.94,7.33,2.41,1.19,1.37,1.03,0.59,0.64,0.99,0.9,0.92,0.87,0.79
f_0,2.92,3.26,5.04,3.97,3.37,2.33,1.38,0.92,1.2,1.12,1.11,0.63,0.91,0.89,1.14,0.59
h_0,3.13,4.11,3.68,3.35,3.58,2.57,2.37,1.63,1.15,1.22,1.29,1.07,1.57,1.12,0.93,1.0
a_0,3.38,3.18,3.04,3.36,4.68,5.25,1.8,1.68,1.24,1.06,0.89,1.29,1.25,0.62,0.99,1.02
e_0,5.63,3.52,3.99,3.92,3.89,3.29,1.76,1.4,1.32,1.27,1.45,0.69,1.02,1.22,0.59,1.28
g_0,3.47,4.17,3.66,4.6,3.85,2.73,1.41,,1.66,1.55,1.57,1.43,0.89,1.22,1.04,1.55
