,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.74,0.65,0.5,0.71,0.62,0.64,0.95,1.52,0.96,0.96,0.95,0.94,0.96,1.21,0.93,0.5
f_1,1.22,2.94,0.6,0.56,0.48,0.41,0.71,0.91,0.7,0.87,0.89,0.33,0.89,0.83,0.91,0.52
d_1,0.56,0.7,3.07,0.51,0.58,0.59,0.99,0.41,0.84,1.64,1.19,1.09,0.98,0.95,1.03,0.99
c_1,0.51,0.61,0.61,3.06,1.06,0.58,0.91,0.9,0.88,0.33,0.72,0.79,1.03,0.78,0.94,1.09
b_1,0.54,0.55,0.69,0.6,3.32,1.2,0.86,0.83,0.82,0.85,0.36,1.03,0.85,0.64,0.82,1.06
a_1,0.53,0.63,0.67,0.72,0.64,4.8,0.85,0.9,0.84,1.08,1.05,1.09,0.86,0.38,0.78,0.95
h_1,0.64,1.02,0.83,0.67,0.61,0.65,3.15,1.24,1.5,1.08,0.93,1.08,0.62,1.24,1.97,1.27
d_0,0.74,0.74,0.32,1.44,0.74,0.73,1.06,2.22,0.97,0.81,1.21,1.06,1.35,1.01,1.1,1.19
g_1,0.59,0.66,1.25,0.75,0.64,0.51,1.05,0.94,4.03,1.0,1.25,1.96,1.22,1.33,0.68,1.36
c_0,0.68,0.9,0.77,0.58,0.66,0.74,1.14,1.26,1.17,2.33,2.43,1.14,1.35,1.33,1.23,1.29
b_0,0.89,0.87,0.67,0.85,0.4,0.38,1.38,1.11,1.34,1.0,2.98,1.44,1.6,2.87,1.2,1.06
f_0,0.58,0.38,0.95,0.91,0.81,0.7,1.28,1.11,1.29,1.02,1.15,2.83,1.38,1.32,1.51,2.75
h_0,0.79,1.02,0.74,0.85,0.77,0.54,0.68,1.04,1.49,0.99,1.27,1.16,0.65,1.26,1.39,1.34
a_0,0.73,0.87,0.96,0.76,0.62,0.23,1.32,1.17,1.32,1.03,1.17,1.47,1.72,3.7,1.57,1.37
g_0,0.59,0.69,1.31,0.77,0.82,0.7,0.86,0.92,0.68,1.25,1.13,1.82,1.19,1.01,0.99,1.41
e_0,0.38,0.95,1.04,0.8,0.63,0.63,1.12,1.08,1.07,1.24,1.44,1.19,1.48,1.3,1.26,3.91
