,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,102.67,12.39,14.72,14.65,22.58,84.45,1837.61,2307.37,7245.22,5356.29,7391.34,6582.2,12846.87,19482.87,34011.82,
f_1,16.24,107.75,17.68,15.62,23.9,104.12,1751.84,2895.93,3797.85,4396.87,7009.4,,14831.48,15195.71,47071.46,25997.36
d_1,10.85,10.5,126.28,15.35,27.25,110.12,1945.03,2349.47,,7062.93,5493.65,5096.03,12791.2,19635.46,33417.79,
c_1,11.91,12.24,10.05,138.48,42.02,70.94,1583.8,2559.79,3213.4,,4276.23,5653.21,13462.83,21413.55,36775.24,40989.91
b_1,11.47,11.81,12.04,11.03,219.15,93.91,1071.34,1648.2,3207.95,2492.74,,7311.05,10213.55,15410.75,23121.21,26287.05
a_1,5.37,5.13,6.97,8.81,14.79,596.88,,1278.13,2430.12,2690.79,2486.71,2675.37,,11620.46,16484.45,
h_1,5.55,6.98,5.52,8.55,15.4,,2842.59,1476.2,1867.77,2019.23,2699.35,2993.14,5813.18,,29616.47,20533.69
g_1,5.41,3.06,7.47,7.07,13.48,45.71,689.14,4179.08,1403.03,1648.07,1717.75,4714.38,5793.78,4581.91,,18569.6
d_0,3.45,5.05,,11.51,12.15,32.66,819.06,1203.56,4470.09,1346.19,2547.31,3744.5,5505.42,8558.17,18857.13,12751.98
c_0,4.69,4.88,5.82,,11.16,36.19,632.92,1283.37,1756.6,4763.16,3497.42,3858.57,5817.31,7887.54,16231.39,10950.09
b_0,3.26,5.0,5.36,6.74,,40.84,636.83,1210.94,1538.99,1428.29,5856.96,2673.42,7345.05,8596.89,17938.36,10339.57
f_0,3.84,,6.99,7.12,7.3,41.83,617.69,825.17,1327.41,1016.17,2296.13,7023.38,4272.38,9853.01,11262.06,21031.22
a_0,2.49,3.93,4.54,3.8,7.06,,595.11,654.99,1436.45,1273.98,1340.91,1969.47,13263.8,3134.33,9080.69,
h_0,3.39,5.82,5.1,4.89,9.85,28.19,,1156.46,1331.51,1592.44,1465.69,1190.87,7829.54,,18853.78,9982.11
g_0,3.47,1.88,4.32,3.49,7.51,28.54,282.62,,1033.68,1373.72,1399.15,3109.26,4717.05,5087.28,,8131.08
e_0,,2.64,,3.29,7.03,,335.73,467.18,1000.63,1058.28,1498.05,1286.33,,5682.9,8253.45,24830.55
