,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.52,0.81,1.36,0.87,0.8,0.56,0.98,1.13,0.95,0.93,1.04,0.7,1.0,0.83,0.57,0.9
d_1,1.07,1.55,0.91,0.72,0.81,0.74,1.07,0.86,0.94,1.7,1.09,0.97,1.16,1.0,0.96,0.97
e_1,0.86,0.86,1.54,1.14,0.78,0.72,0.99,1.7,0.95,1.0,1.14,1.21,1.17,0.9,0.88,1.1
c_1,0.93,1.0,0.77,1.58,1.34,0.85,0.9,0.87,0.87,0.7,0.86,0.91,1.13,0.87,0.79,1.08
b_1,0.89,1.02,0.91,0.73,1.62,1.28,1.13,1.01,0.96,1.07,0.75,1.02,1.18,0.69,0.86,1.17
a_1,1.2,1.04,0.97,0.84,0.87,1.74,1.17,1.17,1.13,1.1,1.09,1.07,1.3,0.82,1.02,0.96
h_1,1.41,1.11,1.15,1.29,0.91,0.88,1.83,1.26,1.51,1.12,1.27,1.21,1.16,1.0,1.05,1.66
d_0,1.16,1.05,0.89,1.92,1.16,0.97,1.32,1.7,1.13,0.9,1.4,1.35,1.46,1.14,1.17,1.29
g_1,1.09,1.57,1.03,1.29,0.98,0.9,1.28,1.21,1.89,1.29,1.34,1.65,1.33,1.33,1.2,1.3
c_0,1.26,0.99,1.3,1.22,0.87,1.02,1.47,1.75,1.22,1.78,2.37,1.44,1.58,1.4,1.3,1.52
b_0,1.24,1.26,1.14,1.42,0.92,0.84,1.47,1.35,1.29,1.16,1.8,1.29,1.71,2.1,1.42,1.47
f_0,1.18,1.21,0.95,1.33,1.23,1.09,1.39,1.39,1.28,1.45,1.39,1.81,1.55,1.26,2.15,1.26
h_0,1.64,1.23,1.27,1.24,1.05,0.84,1.22,1.42,1.7,1.31,1.33,1.23,1.37,1.15,1.2,1.78
a_0,1.26,1.33,1.18,1.32,1.22,0.9,1.71,1.59,1.18,1.53,1.25,1.51,1.81,1.85,1.2,1.59
e_0,1.67,1.19,0.87,1.49,1.28,1.06,1.6,1.47,1.39,1.39,1.43,1.11,1.94,1.57,1.91,1.35
g_0,1.29,1.61,1.04,1.24,1.1,1.16,1.32,1.43,1.08,1.41,1.41,1.9,1.35,1.29,1.54,1.22
