,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,1.0,0.98,0.82,1.15,1.02,0.9,1.08,1.34,0.98,1.23,1.07,1.17,0.97,1.12,1.15,1.1
d_1,1.01,1.0,1.09,0.94,0.94,0.94,0.96,1.09,1.23,0.83,1.12,0.93,1.04,0.84,1.07,1.05
f_1,1.25,0.91,1.0,1.04,0.91,0.92,0.84,1.01,0.92,1.01,0.9,0.92,0.93,1.03,0.84,0.96
c_1,0.88,1.06,0.96,1.0,1.34,0.99,1.03,0.68,0.96,0.99,0.79,0.96,0.98,0.96,0.97,0.85
b_1,0.98,1.07,1.06,0.75,1.0,1.49,1.07,0.94,1.04,0.99,0.96,0.98,1.1,1.06,0.97,0.94
a_1,1.07,1.06,1.09,1.02,0.69,1.0,1.08,1.06,0.96,1.05,1.18,1.09,1.07,1.08,1.06,0.97
h_1,0.94,1.06,1.19,0.96,0.9,0.87,1.0,0.93,0.92,1.14,0.95,0.93,0.95,1.07,0.93,0.98
d_0,0.75,0.91,0.99,1.43,1.1,0.9,1.11,1.0,0.81,1.11,0.98,0.99,0.99,0.95,1.0,1.04
c_0,1.05,0.84,1.11,1.1,0.97,0.99,1.03,1.23,1.0,0.94,1.27,1.05,1.08,0.98,1.03,1.14
g_1,0.8,1.18,0.98,0.98,1.03,0.94,0.89,0.95,1.0,1.0,1.06,1.14,0.88,0.99,1.05,0.97
b_0,0.96,0.9,1.16,1.2,1.03,0.81,1.05,0.97,0.77,0.94,1.0,0.91,1.0,1.05,0.88,1.3
f_0,0.85,1.03,1.06,1.05,1.01,0.91,1.05,1.02,0.97,0.87,1.09,1.0,1.03,0.9,1.24,1.05
h_0,1.0,0.96,1.09,1.03,0.92,0.9,1.02,1.02,0.88,1.15,0.96,0.99,1.0,1.13,0.87,0.92
g_0,0.88,1.2,0.97,1.05,0.94,0.89,0.9,1.0,0.97,1.01,0.93,1.15,0.88,1.0,0.99,0.94
e_0,0.91,0.95,1.21,1.02,0.99,0.9,1.05,1.0,0.99,0.91,1.09,0.84,1.1,1.02,1.0,1.03
a_0,0.96,0.92,1.06,1.17,1.02,1.1,1.09,0.97,0.86,1.08,0.81,1.0,1.1,1.07,0.95,1.0
